,KIRC Tumor,KIRC Normal,BRCA Tumor,BRCA Normal,BRCATang Tumor,OV Tumor,OV Metastasis,combined.p,adjusted.combined.p,combined.p.TUMOR.ONLY,adjusted.combined.p.TUMOR.ONLY
5-Oxoete,0.934,0.9002,NA,NA,NA,NA,NA,0.026812684,0.105061945,NA,NA
6-Keto Prostaglandin F1Alpha,NA,0.736,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adipate,0.812,0.8684,NA,NA,NA,NA,NA,0.097025551,0.241266548,NA,NA
Alanylglutamate,0.003,0.064,NA,NA,NA,NA,NA,0.003670278,0.030455018,NA,NA
Alanylglycine,2.00E-04,0.1168,NA,NA,NA,NA,NA,0.000544965,0.012001523,NA,NA
Alanylisoleucine,4.00E-04,0.1862,NA,NA,NA,NA,NA,0.001564822,0.01839464,NA,NA
Alanylmethionine,0.009,0.012,NA,NA,NA,NA,NA,0.00218881,0.022952993,NA,NA
Alanylthreonine,0.074,0.281,NA,NA,NA,NA,NA,0.2026621,0.408158635,NA,NA
Alanyltryptophan,0.8698,0.113,NA,NA,NA,NA,NA,0.652600705,0.831632757,NA,NA
Alanyltyrosine,0.0596,0.1136,NA,NA,NA,NA,NA,0.081181336,0.210163824,NA,NA
Alanylvaline,0.0092,0.4278,NA,NA,NA,NA,NA,0.051461253,0.156834294,NA,NA
Alpha-Glutamylglutamate,0.1046,0.8634,NA,NA,NA,NA,NA,0.614929956,0.801356685,NA,NA
Alpha-Glutamyltryptophan,0.092,0.374,NA,NA,NA,NA,NA,0.300689185,0.543386306,NA,NA
Alpha-Glutamyltyrosine,0.03,0.154,NA,NA,NA,NA,NA,0.058926812,0.165569968,NA,NA
Anserine,NA,0.931,NA,NA,0.518,NA,NA,0.332085593,0.572698507,NA,NA
Arginylleucine,0.0198,0.04,NA,NA,NA,NA,NA,0.012895263,0.064315221,NA,NA
Arginylmethionine,0.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arginylphenylalanine,0.1708,0.692,NA,NA,NA,NA,NA,0.741175831,0.886904955,NA,NA
Arginyltyrosine,0.083,0.074,NA,NA,NA,NA,NA,0.074841558,0.200505756,NA,NA
Arginylvaline,0.0124,0.0028,NA,NA,NA,NA,NA,0.000782463,0.014133899,NA,NA
Aspartyltryptophan,8.00E-04,0.3418,NA,NA,NA,NA,NA,0.005033718,0.034649642,NA,NA
Aspartylvaline,0.001,0.063,NA,NA,NA,NA,NA,0.001344719,0.018012985,NA,NA
Atenolol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beta-Hydroxypyruvate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bilirubin (E,E)*",NA,NA,NA,NA,NA,0.954,NA,NA,NA,NA,NA
Celecoxib,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cholate,NA,0.399,NA,NA,0.11,NA,NA,0.362186317,0.603311912,NA,NA
Cinnamoylglycine,NA,0.588,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aconitate,0.9998,0.004,NA,NA,NA,NA,NA,0.052162853,0.157969944,NA,NA
Citalopram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citramalate,0.08,0.2434,NA,NA,NA,NA,NA,0.19233576,0.396668822,NA,NA
Codeine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cortisol,NA,NA,NA,NA,NA,0.831,NA,NA,NA,NA,NA
Cysteinylglycine,NA,NA,NA,NA,NA,0.0912,0.571428571,0.412152725,0.657562379,NA,NA
"Cytosine-2',3'-Cyclic Monophosphate",0.01,0.9478,NA,NA,NA,NA,NA,0.107267871,0.254701904,NA,NA
Erucate (22:1N9),0.882,0.31,NA,NA,NA,NA,NA,0.744047306,0.887311072,NA,NA
Fructose 1-Phosphate,0.2452,0.761,NA,NA,NA,NA,NA,0.999714277,0.999714277,NA,NA
Gabapentin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
_-Glutamylcysteine(_-Glu-Cys),0.224,0.328,NA,NA,NA,NA,NA,0.530592874,0.738216173,NA,NA
Glycocholenate Sulfate*,NA,NA,NA,NA,NA,0.815,NA,NA,NA,NA,NA
Glycyllysine,0.073,0.061,NA,NA,NA,NA,NA,0.057124663,0.164519028,NA,NA
Glycylmethionine,0.0076,0.3366,NA,NA,NA,NA,NA,0.035652907,0.126765892,NA,NA
Glycylthreonine,2.00E-04,0.215,NA,NA,NA,NA,NA,0.000950671,0.015647031,NA,NA
Glycyltryptophan,0.005,0.026,NA,NA,NA,NA,NA,0.002586474,0.024029176,NA,NA
Glycyltyrosine,0.0362,0.0784,NA,NA,NA,NA,NA,0.038964724,0.1343933,NA,NA
Guanidoacetic Acid,0.105,0.128,NA,NA,NA,NA,NA,0.142719896,0.312572852,NA,NA
"Gulono-1,4-Lactone",0.029,0.0242,NA,NA,NA,NA,NA,0.01159635,0.060175652,NA,NA
Histidylmethionine,0.038,0.003,NA,NA,NA,NA,NA,0.002298083,0.022952993,NA,NA
Histidylphenylalanine,0.039,0.023,NA,NA,NA,NA,NA,0.01438152,0.068280984,NA,NA
Histidyltryptophan,0.005,0.005,NA,NA,NA,NA,NA,0.000579832,0.012001523,NA,NA
Histidyltyrosine,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homoserine,0.001,0.104,NA,NA,NA,NA,NA,0.002115593,0.022952993,NA,NA
Homostachydrine*,0.085,0.337,NA,NA,NA,NA,NA,0.260828558,0.489372148,NA,NA
Hydrochlorothiazide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Imidazole Propionate,0.197,0.0582,NA,NA,NA,NA,NA,0.125395279,0.283245807,NA,NA
Indoleacetate,0.653,0.884,NA,NA,NA,NA,NA,0.211123337,0.419334629,NA,NA
Isoleucylarginine,0.005,0.8634,NA,NA,NA,NA,NA,0.05564781,0.161884538,NA,NA
Isoleucylglycine,6.00E-04,0.253,NA,NA,NA,NA,NA,0.002973139,0.027182982,NA,NA
Isoleucylhistidine,0.004,0.276,NA,NA,NA,NA,NA,0.017241864,0.076986929,NA,NA
Isoleucylisoleucine,0.086,0.517,NA,NA,NA,NA,NA,0.365755117,0.607132414,NA,NA
Isoleucylmethionine,0.002,0.096,NA,NA,NA,NA,NA,0.003670278,0.030455018,NA,NA
Isoleucylphenylalanine,0.003,0.0922,NA,NA,NA,NA,NA,0.005085533,0.034649642,NA,NA
Isoleucyltryptophan,0.002,0.398,NA,NA,NA,NA,NA,0.012952371,0.064315221,NA,NA
Isoleucyltyrosine,0.022,0.238,NA,NA,NA,NA,NA,0.065473011,0.181309878,NA,NA
Isoleucylvaline,0.0014,0.7698,NA,NA,NA,NA,NA,0.016883362,0.07597513,NA,NA
Leucylarginine,0.0184,0.5654,NA,NA,NA,NA,NA,0.115802431,0.267880323,NA,NA
Leucylasparagine,0.0156,0.627,NA,NA,NA,NA,NA,0.110083359,0.259868912,NA,NA
Leucylhistidine,0.161,0.589,NA,NA,NA,NA,NA,0.636431559,0.818269148,NA,NA
Leucylleucine,0.0084,0.4818,NA,NA,NA,NA,NA,0.052691477,0.158074431,NA,NA
Leucylmethionine,0.031,0.706,NA,NA,NA,NA,NA,0.211064562,0.419334629,NA,NA
Leucylphenylalanine,0.011,0.102,NA,NA,NA,NA,NA,0.01748669,0.077479487,NA,NA
Leucyltryptophan,0.003,0.063,NA,NA,NA,NA,NA,0.003618883,0.030455018,NA,NA
Leucyltyrosine,0.193,0.182,NA,NA,NA,NA,NA,0.305512859,0.54820999,NA,NA
L-Urobilin,NA,0.305,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lysylleucine,0.009,0.7384,NA,NA,NA,NA,NA,0.079930623,0.208325966,NA,NA
Lysyllysine,0.0422,0.6702,NA,NA,NA,NA,NA,0.258247761,0.486113432,NA,NA
Lysylmethionine,0.002,0.002,NA,NA,NA,NA,NA,0.000107434,0.006188183,NA,NA
Lysyltyrosine,6.00E-04,0.009,NA,NA,NA,NA,NA,0.000141794,0.006806131,NA,NA
Metformin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methionylalanine,0.004,0.065,NA,NA,NA,NA,NA,0.004812511,0.034222301,NA,NA
Methionylasparagine,0.022,0.012,NA,NA,NA,NA,NA,0.004878488,0.034268407,NA,NA
Methionylaspartate,0.084,0.033,NA,NA,NA,NA,NA,0.038188104,0.13315911,NA,NA
Methionylglutamate,0.044,0.102,NA,NA,NA,NA,NA,0.057503381,0.164785807,NA,NA
Methionylglycine,0.002,0.161,NA,NA,NA,NA,NA,0.005822378,0.037893087,NA,NA
Methionylleucine,0.009,0.046,NA,NA,NA,NA,NA,0.007277826,0.044126606,NA,NA
Methionylphenylalanine,0.12,0.867,NA,NA,NA,NA,NA,0.678960845,0.853889621,NA,NA
Metoprolol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metoprolol Acid Metabolite*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N1-Methyl-2-Pyridone-5-Carboxamide,0.1416,0.038,NA,NA,NA,NA,NA,0.06699008,0.182873393,NA,NA
N2-Acetyllysine,0.4864,0.9384,NA,NA,NA,NA,NA,0.371153535,0.61299729,NA,NA
N-6-Trimethyllysine,0.0154,0.2542,NA,NA,NA,NA,NA,0.051227672,0.156834294,NA,NA
N-Acetylarginine,0.359,0.176,NA,NA,NA,NA,NA,0.475359033,0.707511119,NA,NA
N-Acetylasparagine,0.15,0.8148,NA,NA,NA,NA,NA,0.7582364,0.895370209,NA,NA
N-Acetylglutamine,0.4784,0.1036,NA,NA,NA,NA,NA,0.39694656,0.643468895,NA,NA
N-Acetylleucine,0.02,0.888,NA,NA,NA,NA,NA,0.178694248,0.378411349,NA,NA
N-Acetylphenylalanine,0.438,1,NA,NA,NA,NA,NA,0.400830141,0.643468895,NA,NA
N-Acetyltryptophan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N-Acetyltyrosine,0.025,0.83,NA,NA,NA,NA,NA,0.202321175,0.408158635,NA,NA
N-Acetyl Valine,0.005,0.755,NA,NA,NA,NA,NA,0.049674129,0.155183891,NA,NA
Naproxen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nervonate (24:1N9),0.786,0.078,NA,NA,NA,NA,NA,0.464940859,0.698276341,NA,NA
Nicotinamide Riboside*,0.662,1,NA,NA,NA,NA,NA,0.129863607,0.291694395,NA,NA
Nicotinate,0.0812,0.648,NA,NA,NA,NA,NA,0.415121779,0.657562379,NA,NA
N-Methylglutamate,0.065,0.6404,NA,NA,NA,NA,NA,0.347912631,0.594651856,NA,NA
Paroxetine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Penicillin G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phenol Red,NA,NA,0.0264,0.463,NA,NA,NA,0.132118601,0.293823606,NA,NA
Phenylalanylalanine,0.0052,4.00E-04,NA,NA,NA,NA,NA,5.86E-05,0.005137142,NA,NA
Phenylalanylarginine,NA,0.142,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phenylalanylaspartate,0.0072,0.003,NA,NA,NA,NA,NA,0.00050729,0.012001523,NA,NA
Phenylalanylglutamate,8.00E-04,0.0212,NA,NA,NA,NA,NA,0.000406519,0.010765073,NA,NA
Phenylalanylglycine,8.00E-04,0.089,NA,NA,NA,NA,NA,0.001502323,0.01839464,NA,NA
Phenylalanylleucine,0.0766,0.013,NA,NA,NA,NA,NA,0.015757468,0.072034138,NA,NA
Phenylalanylmethionine,0.031,0.219,NA,NA,NA,NA,NA,0.081365508,0.210163824,NA,NA
Phenylalanylphenylalanine,0.047,0.022,NA,NA,NA,NA,NA,0.016284095,0.073855422,NA,NA
Phenylalanylproline,0.026,0.044,NA,NA,NA,NA,NA,0.017785137,0.077607872,NA,NA
Phenylalanyltryptophan,0.109,0.042,NA,NA,NA,NA,NA,0.05847473,0.165569968,NA,NA
Phenylalanyltyrosine,0.068,0.046,NA,NA,NA,NA,NA,0.042336613,0.139347939,NA,NA
Phenylalanylvaline,0.01,0.02,NA,NA,NA,NA,NA,0.003806877,0.030455018,NA,NA
Pivaloylcarnitine,0.45,0.65,NA,NA,NA,NA,NA,0.695864992,0.858762905,NA,NA
Pregnanediol-3-Glucuronide,NA,0.427,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prolylglycine,0.033,0.4376,NA,NA,NA,NA,NA,0.151273091,0.32565638,NA,NA
Prolylmethionine,0.013,0.7644,NA,NA,NA,NA,NA,0.111524599,0.261130769,NA,NA
Prostaglandin A2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prostaglandin E2,NA,0.689,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pyridoxal,0.243,0.9746,NA,NA,NA,NA,NA,0.844080461,0.932207832,NA,NA
Quinidine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ranitidine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saccharopine,0.541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salicylate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serylisoleucine*,0.001,0.2062,NA,NA,NA,NA,NA,0.0039123,0.030820592,NA,NA
Serylvaline,0.0168,0.3138,NA,NA,NA,NA,NA,0.065849244,0.181479257,NA,NA
Sorbitol 6-Phosphate,0.108,0.999,NA,NA,NA,NA,NA,0.696253952,0.858762905,NA,NA
Streptomycin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tartarate,0.209,0.073,NA,NA,NA,NA,NA,0.158145422,0.337376901,NA,NA
Testosterone,0.9974,0.3864,NA,NA,NA,NA,NA,0.494271457,0.719078052,NA,NA
Threonylglutamate,0.016,0.3948,NA,NA,NA,NA,NA,0.076617004,0.20243759,NA,NA
Threonylmethionine,0.004,0.169,NA,NA,NA,NA,NA,0.011220677,0.058755546,NA,NA
Threonylvaline,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thymidine,NA,0.592,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trans-Urocanate,0.704,0.0046,NA,NA,NA,NA,NA,0.043606195,0.141904907,NA,NA
Trigonelline (N'-Methylnicotinate),0.0206,0.0422,NA,NA,NA,NA,NA,0.013992226,0.067727076,NA,NA
Tryptophylasparagine,0.002,0.035,NA,NA,NA,NA,NA,0.001479382,0.01839464,NA,NA
Tryptophylglutamate,0.0012,0.0278,NA,NA,NA,NA,NA,0.00075448,0.014133899,NA,NA
Tryptophylleucine,0.124,0.116,NA,NA,NA,NA,NA,0.150791465,0.32565638,NA,NA
Tyrosylalanine,4.00E-04,0.079,NA,NA,NA,NA,NA,0.000718101,0.014133899,NA,NA
Tyrosylglutamine,0.0108,0.0146,NA,NA,NA,NA,NA,0.003076319,0.027686869,NA,NA
Tyrosylglycine,2.00E-04,0.2684,NA,NA,NA,NA,NA,0.001162974,0.016644741,NA,NA
Tyrosylhistidine,0.3102,0.008,NA,NA,NA,NA,NA,0.034736701,0.124275403,NA,NA
Tyrosylleucine,0.001,0.0088,NA,NA,NA,NA,NA,0.000222477,0.008009185,NA,NA
Tyrosyllysine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyrosylphenylalanine,0.183,0.33,NA,NA,NA,NA,NA,0.459801217,0.698276341,NA,NA
Tyrosyltyrosine,0.101,0.385,NA,NA,NA,NA,NA,0.330300599,0.572698507,NA,NA
Tyrosylvaline,0.008,0.025,NA,NA,NA,NA,NA,0.003806877,0.030455018,NA,NA
Valylalanine,0.014,0.647,NA,NA,NA,NA,NA,0.103335601,0.250089522,NA,NA
Valylarginine,0.1496,0.3522,NA,NA,NA,NA,NA,0.415542892,0.657562379,NA,NA
Valylaspartate,0.0118,0.6596,NA,NA,NA,NA,NA,0.091154311,0.231299044,NA,NA
Valylglutamate,0.0032,0.6746,NA,NA,NA,NA,NA,0.030818922,0.116024178,NA,NA
Valylglutamine,0.0466,0.9426,NA,NA,NA,NA,NA,0.362406114,0.603311912,NA,NA
Valylhistidine,0.001,0.32,NA,NA,NA,NA,NA,0.005790201,0.037893087,NA,NA
Valylisoleucine,0.0064,0.1892,NA,NA,NA,NA,NA,0.018687288,0.080327447,NA,NA
Valylleucine,0.0244,0.2494,NA,NA,NA,NA,NA,0.074264144,0.199888537,NA,NA
Valyllysine,0.005,0.342,NA,NA,NA,NA,NA,0.025209716,0.100838863,NA,NA
Valylmethionine,0.0156,0.6342,NA,NA,NA,NA,NA,0.111121549,0.261130769,NA,NA
Valyltryptophan,0.0368,0.329,NA,NA,NA,NA,NA,0.131095671,0.292678707,NA,NA
Valyltyrosine,0.009,0.3216,NA,NA,NA,NA,NA,0.039624205,0.135050546,NA,NA
Vanillylmandelate (Vma),NA,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA
Venlafaxine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xylose,0.002,0.002,NA,NA,NA,NA,NA,0.000107434,0.006188183,NA,NA
1-Methylnicotinamide,NA,NA,0.0412,0.7716,NA,NA,NA,0.282841659,0.520500944,NA,NA
2'-O-Methylguanosine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Methylmalonyl Carnitine,NA,NA,NA,NA,0.2668,NA,NA,NA,NA,NA,NA
3-Methyl-2-Oxobutyrate,NA,NA,0.706,NA,NA,NA,NA,NA,NA,NA,NA
4-Octenedioate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5Alpha-Pregnan-3Beta,20Alpha-Diol Disulfate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adenosine 5'Diphosphoribose,NA,NA,NA,NA,0.772,NA,NA,NA,NA,NA,NA
Adsgegdfxaegggvr*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andro Steroid Monosulfate 1*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andro Steroid Monosulfate 2*,NA,NA,NA,NA,NA,0.511,NA,NA,NA,NA,NA
"Conjugated Linoleate (18:2N7; 9Z,11E)",NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA,NA
Desmethylnaproxen Sulfate*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epiandrosterone Sulfate,NA,NA,NA,NA,0.438,NA,NA,NA,NA,NA,NA
Fluoxitine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gamma-Glutamylalanine,NA,NA,0.452,0.709,NA,NA,NA,0.629696232,0.813239977,NA,NA
Gamma-Glutamylmethionine*,NA,NA,0.515,0.513,NA,NA,NA,0.768287079,0.901289934,NA,NA
Glycodeoxycholate,NA,NA,0.564,NA,NA,NA,NA,NA,NA,NA,NA
Homocarnosine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malonate (Propanedioate),NA,NA,0.231,0.598,NA,NA,NA,0.82316492,0.921581999,NA,NA
Methionine Sulfoxide,NA,NA,0.6246,0.7684,NA,NA,NA,0.3354738,0.576348673,NA,NA
Methyl-4-Hydroxybenzoate,NA,NA,NA,NA,0.918,NA,NA,NA,NA,NA,NA
N-Acetylmannosamine,NA,NA,0.384,NA,NA,NA,NA,NA,NA,NA,NA
Phenylacetylglycine,NA,NA,0.49,0.771,NA,NA,NA,0.508925739,0.727397583,NA,NA
Pyridoxine (Vitamin B6),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pyroglutamylvaline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sebacate,NA,NA,NA,NA,0.595,NA,NA,NA,NA,NA,NA
Taurochenodeoxycholate,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Taurocholate,NA,NA,NA,NA,NA,0.979,NA,NA,NA,NA,NA
Taurolithocholate 3-Sulfate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thymol Sulfate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ursodeoxycholate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1,7-Dimethylxanthine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-Methyl-L-Tryptophan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Hydroxy Caprylic Acid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Hydroxybutyric Acid Sodium Salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-Deoxyguanosine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-Hydroxy-2-Methylvalerate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-Hydroxy-3-Methyl-Glutaric Acid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-Hydroxykynurenine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-Hydroxy Phenyllacticacid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-Hydroxyindoleaceticacid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-Hydroxytryptophan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alpha-Hydroxyisobutyric Acid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aminobutyric Acid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B-Hydroxyisovaleric Acid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caffeine,NA,NA,NA,NA,NA,0.831,0.714285714,0.193646134,0.396668822,NA,NA
Cinnamic Acid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citramalic Acid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coumarin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dl-3-Phenyllactic Acid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dl-Indole-3-Lactic Acid (3-Indolelactic Acid),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glutamine Or Lysine Or Glutamic Acid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyceraldehyde-3-Phosphate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isobutyryl Carnitine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ketoleucine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kynurenic Acid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N12-Acetylthermospermidine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N1-Acetylspermine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonanedioic Acid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norepinephrine (Noradrenaline),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O-Succinyl-L-Homoserine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phthalic Acid Mono-2-Ethylhexyl Ester,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pyroglutamic Acid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suberic Acid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Theophylline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trans-4 Hydroxytamoxifen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Urocanic Acid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vidarabine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-Eicosatrienoylglycerophosphocholine*,NA,NA,NA,NA,0.9108,NA,NA,NA,NA,NA,NA
13-Methylmyristic Acid,NA,NA,NA,NA,0.2398,NA,NA,NA,NA,NA,NA
2-Arachidonoylglycerophosphoinositol*,NA,NA,NA,NA,0.247,NA,NA,NA,NA,NA,NA
2-Oleoylglycerophosphoinositol*,NA,NA,NA,NA,0.651,NA,NA,NA,NA,NA,NA
3-Phosphoglycerate (Isobar With 2-Phosphoglycerate),NA,NA,NA,NA,0.78,NA,NA,NA,NA,NA,NA
4-Acetamidobutanoate,NA,NA,NA,NA,0.7134,NA,NA,NA,NA,NA,NA
4-Ethylphenylsulfate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-Nitrophenol,NA,NA,NA,NA,0.826,NA,NA,NA,NA,NA,NA
Acetyl Coa,NA,NA,NA,NA,0.492,NA,NA,NA,NA,NA,NA
"Adenosine 3',5'-Cyclic Monophosphate (Camp)",NA,NA,NA,NA,0.325,NA,NA,NA,NA,NA,NA
Adp,NA,NA,NA,NA,0.683,NA,NA,NA,NA,NA,NA
Aica Ribonucleotide,NA,NA,NA,NA,0.752,NA,NA,NA,NA,NA,NA
Assymetric Dimethylarginine (Adma),NA,NA,NA,NA,0.335,NA,NA,NA,NA,NA,NA
Carnosine,NA,NA,NA,NA,0.894,NA,NA,NA,NA,NA,NA
Cis-Urocanate,NA,NA,NA,NA,0.054,NA,NA,NA,NA,NA,NA
Coenzyme A,NA,NA,NA,NA,0.365,NA,NA,NA,NA,NA,NA
Cytidine-5'-Diphosphoethanolamine,NA,NA,NA,NA,0.3984,NA,NA,NA,NA,NA,NA
Delta-Tocopherol,NA,NA,NA,NA,NA,0.336,0.5692,0.984774549,0.995140597,NA,NA
Deoxycholate,NA,NA,NA,NA,0.378,NA,NA,NA,NA,NA,NA
Gamma-Glutamylmethionine,NA,NA,NA,NA,0.539,NA,NA,NA,NA,NA,NA
Heptaethylene Glycol,NA,NA,NA,NA,0.938,NA,NA,NA,NA,NA,NA
Hexaethylene Glycol,NA,NA,NA,NA,0.9358,NA,NA,NA,NA,NA,NA
Inosine 5'-Monophosphate (Imp),NA,NA,NA,NA,0.8646,NA,NA,NA,NA,NA,NA
"Isobar: Udp-Acetylglucosamine, Udp-Acetylgalactosamine",NA,NA,NA,NA,0.777,NA,NA,NA,NA,NA,NA
Isoleucylglutamine,NA,NA,NA,NA,0.0896,NA,NA,NA,NA,NA,NA
Lathosterol,NA,NA,NA,NA,0.832,NA,NA,NA,NA,NA,NA
Mead Acid (20:3N9),NA,NA,NA,NA,0.451,NA,NA,NA,NA,NA,NA
Methionylthreonine,NA,NA,NA,NA,0.193,NA,NA,NA,NA,NA,NA
Methionylvaline,NA,NA,NA,NA,0.719,NA,NA,NA,NA,NA,NA
Paraxanthine,NA,NA,NA,NA,0.1986,NA,NA,NA,NA,NA,NA
Pentaethylene Glycol,NA,NA,NA,NA,0.9266,NA,NA,NA,NA,NA,NA
Pseudoephedrine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S-Lactoylglutathione,NA,NA,NA,NA,0.213,NA,NA,NA,NA,NA,NA
S-Methylglutathione,NA,NA,NA,NA,0.439,NA,NA,NA,NA,NA,NA
Tetraethylene Glycol,NA,NA,NA,NA,0.8694,NA,NA,NA,NA,NA,NA
Thymidine 5'-Monophosphate,NA,NA,NA,NA,0.878,NA,NA,NA,NA,NA,NA
Tiglyl Carnitine,NA,NA,NA,NA,0.261,NA,NA,NA,NA,NA,NA
Udp-Glucose (Isobar With Udp-Galactose),NA,NA,NA,NA,0.8916,NA,NA,NA,NA,NA,NA
Uridine 5'-Triphosphate (Utp),NA,NA,NA,NA,0.752,NA,NA,NA,NA,NA,NA
Valerate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Oxoisopentanoate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2,3-Diphosphoglycerate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3,4-Dihydroxyphenylalanine(Dopa)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
