,RCC1,RCC2,RCC3,RCC4,RCC5,RCC6,RCC7,RCC8,RCC9,RCC10,RCC11,RCC12,RCC13,RCC14,RCC15,RCC16,RCC17,RCC18,RCC19,RCC20,RCC21,RCC22
leucylphenylalanine,0.7265,0.7265,0.7265,0.7265,0.7265,0.7265,0.7265,0.7265,0.9594,0.7265,1.1168,0.7265,1.0406,0.7265,0.9148,0.7265,0.7265,0.7265,0.7265,0.7265,2.3504,0.7265
leucylserine,1.5116,0.9263,0.6744,0.6287,0.5738,0.9782,1.4373,0.8708,2.5736,0.8635,2.0378,0.9312,1.1855,1.0218,1.3348,0.6478,1.2971,1.2413,1.4913,0.6149,3.8867,0.7113
leucylthreonine,1.5592,0.601,0.7023,0.6281,1.2602,1.0579,1.8416,0.8201,1.8008,0.6813,1.6228,0.8742,1.9853,0.6209,1.6033,0.3988,1.3092,0.9267,1.132,0.9421,3.8113,0.6511
lidocaine,0.2444,0.2444,3.0703,1,0.2444,0.2444,0.2444,0.2444,1.1628,0.2444,0.2444,0.2444,0.2444,0.2444,0.2444,0.2444,0.2444,0.2444,0.2444,0.2444,0.4329,0.2444
linoleamide (18:2n6),0.3347,0.3347,0.3347,0.3347,0.3347,0.3347,0.3347,0.3347,0.3347,1.3704,0.3347,0.3347,0.3347,0.3347,0.3347,4.988,0.3347,0.3347,0.3347,0.6296,0.3347,0.3347
linoleate (18:2n6),1.5879,1.3079,0.4498,1.0318,2.0669,2.7058,0.6313,0.4298,1.0071,0.7024,5.4631,1.0795,0.848,1.1926,0.8488,0.3091,0.9929,1.1422,0.2199,1.9269,0.4421,0.514
linolenate [alpha or gamma; (18:3n3 or 6)],1.0239,2.4099,0.7302,1.7104,1.2995,2.1328,1.2592,0.7599,0.9278,0.9055,6.9627,1.7626,0.8198,2.0882,0.6945,0.492,0.5732,0.9761,0.2741,1.7323,0.6547,1.0831
lysine,0.8312,1.2618,0.9509,0.989,0.9865,2.1347,0.7658,1.0205,0.9551,0.9718,1.0669,1.011,0.7574,1.2463,1.4207,0.8267,1.2252,1.2385,0.8396,1.2064,1.1946,0.6292
malate,0.3166,1.9578,0.3323,0.9728,0.4685,1.6564,0.3881,1.241,0.1576,1.154,0.5491,1.1406,0.3236,1.1553,0.3794,0.8311,1.2642,1.7809,1.0272,1.7329,1.1877,0.9463
maltohexaose,1.5165,0.2963,2.2061,0.2963,0.2963,0.2963,0.3277,0.2963,0.4296,0.2963,1.4444,0.2963,0.5556,0.2963,0.2963,0.2963,0.2963,0.2963,0.2963,0.2963,8.2689,0.2963
maltopentaose,1.1517,0.2247,1.5788,0.2247,0.2247,0.2247,0.2247,0.2247,0.2247,0.2247,0.8483,0.2247,0.3788,0.2247,0.2247,0.2247,0.2247,0.2247,0.2247,0.2247,6.0232,0.2247
maltose,1.3926,0.2486,3.0468,0.2486,1,0.2486,0.8848,0.2486,3.8462,0.2486,0.6151,0.2486,0.6782,0.2486,2.8207,0.2486,0.8414,0.2486,1.5068,0.2486,4.9447,0.7602
maltotetraose,1.0185,0.6764,0.9815,0.6764,0.6764,0.6764,1.721,0.6764,3.1199,0.6764,0.8352,0.6764,0.6764,0.6764,1.5528,0.6764,0.7056,0.6764,0.8597,0.6764,4.034,0.6764
maltotriose,0.9539,0.2194,1.5228,0.2194,0.3116,0.2194,2.0125,0.2194,4.6388,0.2194,0.5247,0.2194,0.5659,0.2194,2.1681,0.2194,0.6272,0.2194,1.0461,0.2194,3.9247,0.2194
mannitol,1,0.3475,0.6467,0.2518,82.8782,121.0295,0.8184,0.2043,0.4251,0.2166,0.3655,0.1815,2.1454,6.1819,1.4145,0.2157,1.6995,0.1815,19.1262,134.9295,85.2901,304.318
mannose,1.3689,0.143,1.0588,0.1138,1.5608,1.3726,1.9873,0.9412,1.7977,0.1665,5.4507,0.1267,6.099,0.5268,2.7946,0.1204,2.9234,0.2474,2.5771,0.203,0.7842,0.154
mannose-6-phosphate,4.13,0.1303,1,0.1574,0.5938,0.3207,3.2035,0.1042,3.0982,0.1984,6.077,0.0872,3.6969,0.0872,4.0267,0.0872,2.2315,0.0872,1.3889,0.0872,0.4608,0.0872
margarate (17:0),1.3435,1.3854,0.959,1.0112,1.3663,1.9226,0.9657,0.8211,0.8412,0.7835,1.3968,1.5252,1.0995,0.8785,0.9356,0.9048,0.9928,1.1613,0.606,1.0072,0.8868,1.2396
methionine,0.7938,1.6292,0.9707,1.1467,0.5112,1.2983,0.8711,1.6779,0.9127,1.0887,1.5128,0.9616,1.0493,1.3462,0.7913,0.897,1.0875,0.888,0.7038,1.0293,1.9786,0.7214
methyl-alpha-glucopyranoside,2.6805,0.5884,0.4905,0.2645,0.689,0.4101,2.2028,0.451,0.5436,2.0505,4.6744,0.2645,1.6405,0.3489,2.0348,0.2645,1.1284,1.3145,1.9338,0.8716,3.9323,0.4296
methylphosphate,0.5194,1.2525,0.6824,1.574,0.2212,0.7933,0.4489,2.2714,0.8458,1.522,1.136,0.504,1.2779,1.4181,1.0574,0.9426,0.8141,1.302,0.7717,1.1427,2.0094,0.6298
metoprolol,0.2357,0.2357,0.2357,0.2357,0.2357,0.2357,0.2357,0.2357,0.2357,0.2357,0.2357,0.2357,0.2357,0.2357,1.7643,0.2357,0.2357,0.2357,0.2357,0.2357,0.2357,0.2357
metoprolol acid metabolite*,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
myo-inositol,1.6348,0.8478,1.1863,1.0161,0.5035,0.5009,0.1954,1.0106,1.2042,0.8711,1.2809,3.3648,0.9894,0.6207,1.2117,2.714,0.8825,1.0733,0.6729,0.7557,0.21,4.9519
myristoleate (14:1n5),0.3309,1.8933,0.5803,1.5039,0.9912,3.0893,0.4607,1.6596,0.7114,0.3309,1.8459,0.5762,0.8186,2.3214,0.3309,1.0088,0.5761,1.2608,0.4419,2.5745,0.8146,1.2231
myristoylcarnitine,0.448,0.6341,0.8115,1.4407,1.2506,0.9305,0.0506,0.9196,0.0506,0.7519,1.3041,1.0695,5.4932,1.6734,0.5388,0.8161,1.5253,1.8784,0.0506,0.8508,3.8526,5.5059
N-acetyl alliin*,0.6346,1.2384,0.6346,0.7616,0.6346,0.6346,0.6346,0.6346,0.6346,0.6346,0.6346,0.6346,0.6346,3.7075,0.6346,0.6346,0.6346,0.6346,0.6346,0.6346,0.6346,0.6346
N-acetyl-aspartyl-glutamate (NAAG),0.2758,1.0268,0.5205,1.1627,0.5466,0.8933,0.2758,1.5105,1.1428,1.39,0.9352,1.2464,0.3062,1.1653,3.0148,1.5646,0.3576,1.5737,0.3961,0.7805,0.2758,0.9732
N-acetylaspartate (NAA),0.03,0.9716,0.5214,1.2615,0.8359,0.6881,0.7625,1.313,2.8455,1.5573,2.5373,4.7326,0.2344,1.0284,7.7823,2.8062,0.4137,1.4524,0.2647,0.8713,0.0472,3.2974
N-acetylcarnosine,0.7929,1.3249,0.7929,1.4312,0.7929,0.7929,0.7929,1.0049,0.7929,1.7932,0.7929,0.7929,0.7929,0.968,0.7929,0.7929,0.7929,0.9951,0.7929,0.7929,0.7929,0.8335
N-acetylmethionine,0.9092,0.6375,0.9163,0.4903,1.3671,2.5104,2.1679,1,2.4114,0.6812,3.1527,0.4429,3.1928,0.6963,1.2827,0.4731,1.0035,0.8699,1.5616,0.4429,3.2777,0.7345
N-acetylneuraminate,1.132,0.8842,1.3345,0.6975,1.4257,0.8124,1.1938,0.5393,2.593,0.6654,3.3636,0.9591,4.4126,0.544,1.8196,0.5934,1.0409,0.4988,1.5505,0.608,0.6436,1.0594
N-acetylphenylalanine,0.4763,0.4763,0.4763,0.4763,0.4763,1,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,0.4763,2.4034,0.4763
N-acetyltryptophan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
N-acetyltyrosine,0.4106,0.4106,0.4106,0.8201,0.4106,1,0.4106,0.4106,0.4106,0.4106,0.4106,0.4106,0.4106,1.3148,0.4106,0.4106,0.4106,0.4106,0.4106,0.4106,5.0614,0.4106
N-methylglutamate,0.5598,2.5692,0.2624,1.3164,0.2624,0.2624,0.3497,0.2624,0.2624,0.2624,0.2624,0.7373,0.2624,0.306,1,4.1158,0.2624,0.2624,0.2624,0.2624,9.1708,7.5878
N2-acetyllysine,0.2002,1.0808,0.2356,6.0655,0.7148,1.7934,0.2353,1.552,0.2002,2.4236,0.2835,0.9192,0.2002,2.1439,0.3873,0.8082,0.2002,1.741,0.2002,1.8982,1.5174,0.3856
N6-carbamoylthreonyladenosine,0.7042,1.5555,2.4926,1.4451,0.7042,0.7042,0.7042,0.792,0.7042,0.962,0.7042,0.9418,0.7042,2.1022,1.1196,0.8694,0.7042,0.7042,0.7042,0.8362,1.038,0.7042
nicotinamide,1.3992,1.6144,1.0963,0.8484,0.8507,1.451,0.6187,1.1804,0.732,0.6122,1.763,1.0614,1.0622,0.682,0.8127,1.3288,0.692,0.9386,0.7237,0.9201,1.9379,1.7302
nicotinamide adenine dinucleotide (NAD+),1.4816,0.7814,0.4847,0.9772,0.1785,0.7937,1.7362,1.0228,0.8672,0.8952,1.2709,0.6635,1.8816,1.4557,1.1813,0.5643,2.1229,1.1012,1.2786,1.2309,0.5444,0.6499
nicotinamide adenine dinucleotide reduced (NADH),1.6111,0.2403,0.2958,0.2403,0.2403,0.2403,1.9358,0.2403,1.094,0.2403,2.4895,1.2179,0.906,0.2403,0.8397,0.4121,2.0228,0.2403,0.3213,0.2403,0.2403,0.2403
nicotinamide ribonucleotide (NMN),0.7562,3.1654,0.4396,2.3662,0.6256,4.6098,0.8582,1.5223,0.9786,2.1536,1.7329,0.8519,0.5377,2.1816,1.0214,0.3798,1.4494,2.3166,0.7268,2.7242,0.2868,0.2708
O-methyl tyrosine,0.7057,0.8875,0.3207,0.3207,0.9559,0.3207,1.5889,1.6177,1.4886,0.5243,1.2839,0.832,1.2586,1,1.4958,0.3207,0.3207,0.547,0.4283,1.3547,3.4805,0.3207
octadecanedioate,0.527,1.0268,0.8541,0.9079,1,1.8712,0.5942,0.7797,0.527,1.0798,0.9608,0.527,0.7378,1.4696,0.527,1.0095,1.1195,1.1068,0.527,0.527,1.0277,0.987
octanoylcarnitine,0.5246,0.5791,1.1214,0.7347,1.6875,0.8018,1.1767,0.802,1.0765,0.9225,0.8836,1.0061,4.6915,1.0959,3.413,1.4397,1,0.5246,0.99,0.759,0.7957,3.5442
oleate (18:1n9),1.2422,1.4592,0.4738,0.9005,1.7126,2.3614,1.0591,0.5458,0.9892,0.5737,3.535,1.0483,0.7916,1.0108,0.8493,0.4892,1.0274,1.1671,0.6538,1.2254,0.5545,0.9313
oleoylcarnitine,0.4216,0.5459,0.8122,0.9707,1.2796,1.3883,0.0232,0.7845,0.0605,0.58,2.4731,1.2131,3.4715,1.2942,0.2996,1.3204,2.0054,1.0293,0.0386,0.5838,3.4892,4.654
ophthalmate,1.5326,0.2772,1,0.2289,0.1658,0.1658,6.2059,0.1864,2.4943,0.3029,1.2273,0.9057,2.8351,0.481,3.0003,0.2557,2.3939,0.31,3.0393,0.4594,1.9112,1.9748
ornithine,1.0408,1.5405,0.998,0.9104,0.6113,1.968,0.6746,1.0656,0.3011,0.9553,0.4391,1.2264,0.57,1.2998,0.9074,1.002,0.8808,1.6465,1.1674,1.3397,1.852,0.8507
p-acetamidophenylglucuronide,0.2977,1.078,0.922,4.0987,0.2977,0.2977,0.2977,0.2977,0.2977,0.2977,0.2977,0.2977,0.2977,0.2977,0.2977,0.2977,0.2977,0.2977,0.2977,0.2977,0.2977,0.2977
p-cresol sulfate,0.1513,0.2598,0.1928,0.2917,2.0858,4.1999,0.6396,1.1211,4.2987,5.8253,0.8433,1.9808,0.2467,1.2073,4.5641,3.6189,0.3529,0.5783,0.8789,1.7156,0.6892,1.3493
palmitate (16:0),0.8935,1.293,0.7219,1.3348,1.2791,2.1509,0.8318,1.042,0.6918,0.8804,1.3384,1.4383,0.7891,1.1913,0.7082,0.8531,0.7236,1.4067,0.4132,1.0907,1.0238,0.9762
palmitoleate (16:1n7),0.2902,0.2902,0.77,0.2902,0.2902,2.4642,1.8718,1.0663,0.2902,0.2902,6.8638,0.2902,0.2902,1.6362,0.2902,0.8472,0.4957,1.125,0.2902,0.2902,0.9337,0.9104
palmitoyl sphingomyelin,0.4195,1.1587,1.1916,3.1557,1.4259,2.419,0.5407,0.6734,0.1893,1.5896,0.2996,1.059,0.5442,1.3918,0.6625,0.5669,0.334,1.9537,0.3685,2.827,4.4498,0.941
palmitoylcarnitine,0.2653,0.389,0.8733,1.2542,1.028,1.132,0.0287,0.7111,0.0531,0.5076,1.2005,0.7732,3.421,1.3893,0.3079,1,1.9711,1.3021,0.0287,0.486,2.8724,4.0621
pantothenate,0.5973,1.6334,0.359,1.1211,0.423,1.5061,0.3578,2.0958,0.3318,1.3132,1.1112,1.8407,0.6078,1.0708,0.6037,1.4777,0.2907,2.0308,0.6488,2.1294,0.5169,0.9292
pelargonate (9:0),1.0071,1.2478,0.7862,1.4732,0.9893,1.3321,0.9929,0.7195,0.7068,0.9781,0.6112,1.3363,1.1669,1.2169,0.9053,1.1026,0.9473,1.1514,0.9533,1.4645,0.9,1.6038
phenol sulfate,0.3215,0.693,1.506,1.6904,0.8468,1.2478,0.6815,1.3281,0.9504,1.1722,0.3345,0.6584,1.0205,2.5199,1.2655,1.3262,0.8388,2.0437,0.3776,0.9795,0.8404,1.4115
phenylacetylglutamine,0.5369,2.2228,0.3116,1.3344,0.54,1.2438,0.682,2.0369,1.1198,3.9579,0.8802,0.6026,0.8191,3.97,0.6762,1.4476,0.3306,1.3163,0.4505,1.5001,1.1883,0.7437
phenylalanine,1.0016,1.3369,0.8682,0.6951,0.6626,1.6417,0.8098,1.3921,1.1691,0.9251,1.2661,0.839,1.0614,1.0975,0.9984,0.716,1.6243,1.4505,0.6714,0.8795,1.7024,0.6109
phenylalanylalanine,0.8223,0.3537,0.3537,0.3537,0.9316,1.2437,2.1266,0.3537,1.0684,0.7509,2.3192,0.6617,1.7109,0.3537,1.5263,0.3537,1.2306,0.5282,0.8352,0.3537,5.8813,0.4501
phenylalanylglycine,0.8169,0.8169,0.8169,0.8169,0.8169,0.8169,1.1062,0.8169,0.8169,0.8169,0.8938,0.8169,0.8169,0.8169,0.8169,0.8169,0.8169,0.8169,0.8169,0.8169,3.6319,0.8169
phenylalanylhistidine,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
phenylalanylleucine,0.8823,0.4897,0.4897,0.4897,0.4897,0.4897,1.1841,0.4897,0.8279,0.4897,1.1349,0.4897,1.0623,0.4897,0.9377,0.4897,0.4897,0.4897,0.4897,0.4897,2.7352,0.4897
phenylalanylserine,0.4416,0.3631,0.854,0.3631,0.9767,1.0233,1.9449,0.3631,1.9373,0.5755,1.8424,0.3631,1.6718,0.3631,2.3653,1.0461,0.9546,0.7249,1.4191,0.7527,4.8677,0.7055
phosphate,1.0501,0.9851,0.4592,1.1741,0.4047,0.8718,0.7886,1.0261,0.459,0.9656,1.654,1.033,1.1958,0.9231,0.9714,0.8372,1.0191,1.1465,0.2686,1.0149,1.0854,1.0525
phosphoethanolamine,1.1235,1.0646,0.7156,1.2486,0.5769,1.0357,0.4548,1.2657,0.6636,0.8665,0.8558,0.6648,1.0755,1.1235,0.6092,0.729,1.0626,1.2984,1.0468,1.3031,0.9643,0.7012
phytosphingosine,1.0637,0.8478,3.2303,0.5317,6.7433,1.2922,0.2848,0.4497,0.8346,0.375,1.7132,1,4.5898,0.6954,1.0896,0.3232,5.4005,1.0985,0.2848,0.427,0.564,2.6588
pipecolate,0.5307,0.5307,1.0132,0.8124,0.5419,0.5307,0.5307,1.3393,0.5307,0.5587,0.9763,1.0013,0.5307,1.0156,1.0916,1.0566,0.5307,0.7678,1.3549,1,0.5307,0.5521
pregn steroid monosulfate*,0.5464,1.9206,0.8711,1.1506,0.5464,0.9211,0.5464,1.3351,0.5464,0.5464,0.5464,0.5464,0.5464,1,0.5464,0.7512,0.6376,1.154,0.5464,0.6801,1.2567,1.9388
pregnen-diol disulfate*,0.7866,2.1291,0.7866,0.9387,0.7866,1.4504,0.7866,1.0547,0.7866,0.7866,0.7866,0.7866,0.7866,0.7866,0.7866,0.7866,0.7866,0.8963,0.7866,0.7866,0.7866,1
proline,1.4222,1.3965,0.8119,1.1558,0.7701,1.2445,0.6292,0.8862,1.0382,1.0239,1.095,1.0487,1.0952,0.787,1.218,0.7758,0.8345,0.7609,0.6202,0.9761,1.1537,0.9374
prolylleucine,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
propionylcarnitine,0.3251,0.6686,0.369,0.4943,0.5356,1.1306,0.3406,1.396,0.4546,0.5903,2.3113,1.1785,1.1348,0.6551,0.953,0.4552,1.8168,2.8855,1.8639,1.141,1.047,1.4189
prostaglandin E2,0.7652,0.7652,1.2348,0.7652,0.7652,0.7652,0.7652,0.7652,0.7652,0.7652,0.7652,0.7652,0.7652,0.7652,0.7652,0.7652,0.7652,0.7652,0.7652,0.7652,0.7652,0.7652
pseudoephedrine,0.0687,0.1054,1.095,0.2689,1.2325,1.1401,0.905,0.7558,0.0687,0.1763,7.5532,1.7594,0.1268,0.0687,5.3439,1.4058,4.035,2.3333,0.1555,0.0687,0.0687,0.1089
pseudouridine,0.6786,2.2337,0.6019,1.6054,0.9496,1.1149,0.3465,1.4854,0.5127,2.0472,0.8281,1.967,0.5646,1.0504,0.7553,1.133,0.3035,1.4606,0.2672,2.163,0.491,1.056
putrescine,1.2166,0.3106,1.1173,0.3106,0.4979,0.3217,0.6874,0.3106,1.1534,0.6013,9.2844,1.3119,4.5528,0.3527,1.2227,0.3205,1.6753,0.4828,2.8526,0.7333,5.4829,0.8827
pyridoxate,0.4717,3.2208,0.4717,0.9006,0.4717,0.7545,0.4717,2.3905,0.4717,1.151,0.8515,2.3391,0.4717,2.919,0.4717,0.5831,0.4717,1,0.4717,1.9723,0.4717,0.7874
pyroglutamine*,4.7033,1.4708,0.7803,0.9073,0.5327,1.145,0.4683,0.6247,0.9798,0.8196,0.7973,1.0202,1.6112,1.3695,2.4063,1.0779,0.6097,1.049,1.7373,0.833,0.8333,1.24
pyrophosphate (PPi),0.1529,1.2801,1.7133,2.884,0.1529,1.2833,0.1529,0.6407,0.1529,1.1932,0.1529,0.216,1,1.1157,0.7564,0.6059,0.6787,0.8924,0.1529,1.4311,0.7238,1.0711
quetiapine,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
quinate,0.5195,0.3819,0.554,2.0441,0.3819,0.3819,0.4268,1,0.6285,2.3571,0.405,0.3819,0.7838,1.3272,1.6902,1.0586,1.1297,1.0123,0.8036,1.3476,0.6118,1.0912
ribitol,1.3204,0.8112,0.7616,0.6551,0.3077,1.2864,0.5259,0.9114,1.1454,0.9023,2.6723,2.2987,0.8883,0.9968,2.1224,1.0737,0.7069,1.4817,0.8252,1.0032,16.6232,3.0833
riboflavin (Vitamin B2),0.953,1.1307,0.248,0.9217,2.0731,2.761,0.248,1.9443,0.8673,0.7318,1.8132,0.248,0.248,0.9811,0.6945,1.0491,0.6366,1.4368,0.3776,1.5053,1,1.0463
ribose,1.6261,0.5239,0.9377,0.1367,0.6643,1.8174,1.1435,0.744,1.7655,0.4713,5.741,0.656,1.6652,0.7728,1.4037,0.8131,1.2209,1.2332,0.6512,0.5501,1.0623,1.2118
ribulose,0.3705,0.3705,0.6833,0.3705,0.3998,0.3705,0.9369,0.3705,2.4799,0.3705,5.954,0.3705,1,0.3705,3.4562,0.3705,1.7086,0.3705,0.3705,0.3705,1.8311,0.4795
S-adenosylhomocysteine (SAH),1.5895,0.9842,0.6812,0.737,0.5932,1.242,0.9366,1.173,0.857,1.1554,1.8257,0.9254,0.6028,1.4447,1.2857,1.162,0.8646,1.0143,0.4931,1.5823,1.5854,0.9857
S-methylcysteine,0.4321,1.7066,0.6519,1.6905,0.784,0.2146,0.2146,0.2146,1.3384,1.6475,1.8364,0.7329,2.0865,2.4178,1.7295,0.7158,0.509,1.0082,0.6757,1.0528,0.9918,0.6978
salicyluric glucuronide*,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
scyllo-inositol,0.6632,0.7282,0.7575,1.6701,1.3085,1.6208,0.2484,6.0778,0.4986,0.6314,1.6815,6.2044,0.8058,1.0572,0.9428,4.4382,0.775,1.8403,0.8532,3.5695,0.1448,5.0944
sedoheptulose-7-phosphate,1.2082,0.0487,0.1708,0.0487,0.0487,0.0487,1.3426,0.0487,0.8808,0.0487,5.1462,0.0487,1,0.0487,1.3162,0.0487,1.0379,0.0487,0.3812,0.0487,0.0985,0.0487
serine,0.9929,1.197,0.9659,1.1359,0.4999,1.4933,1.0574,1.3126,0.7978,0.8118,1.2294,0.6604,1.0071,1.1338,0.9882,0.879,1.0824,0.9114,0.924,0.8371,1.3949,1.1185
serylleucine,1.9121,0.7953,0.6128,0.1572,1.3833,0.6387,3.3876,0.3855,4.038,0.4147,3.3627,1,3.0539,0.4081,1.8943,0.1572,1.6255,0.6176,1.506,0.513,6.7936,0.3635
serylphenyalanine,1.3231,0.6946,0.5332,0.3442,0.851,0.3442,4.03,0.6462,3.6952,0.3448,2.1716,0.3442,3.2805,0.3442,2.056,0.3442,1.149,0.6444,1.2452,0.4545,3.1932,0.4329
solanidine,0.5712,0.5712,0.5712,0.5712,0.5712,0.5712,0.5712,0.7088,7.4425,6.1935,0.5712,0.5712,0.5712,0.5712,0.8631,0.5712,0.5712,0.5712,1.1369,0.5712,0.5712,0.5712
sorbitol,2.9933,0.178,0.97,0.0729,1.03,1.2737,1.4975,0.3508,0.8022,0.123,2.4342,0.5728,3.0401,0.1766,2.4634,0.4811,3.6016,0.1351,4.0988,0.4422,39.6253,6.0148
sorbitol 6-phosphate,1.6553,0.5708,0.7182,0.4223,0.8702,0.6064,1.2659,0.3709,1.2438,0.3709,1.3874,0.5848,1.118,0.4261,1.2603,0.3709,1.01,0.3709,1,0.5847,46.8722,3.23
sphinganine,9.3966,1.6775,2.8428,0.4157,1.3245,0.8178,0.3936,0.3747,0.9273,0.3747,4.9278,0.6896,4.9174,0.3747,0.9605,0.3747,8.3362,0.7099,1,0.3747,1.3334,0.3747
sphingosine,20.3819,0.9542,11.0142,0.8395,6.6228,3.4617,0.4746,0.6176,2.315,0.4551,24.5976,0.78,17.0478,0.4287,3.536,0.5293,21.6477,1.0247,0.8959,0.9753,7.7436,0.854
stachydrine,1.6948,2.2487,1.6824,1.5133,0.1366,0.14,0.3122,0.3813,0.2563,0.2816,1.3285,0.8674,0.5697,1.1326,3.9051,2.5301,0.3489,0.4821,0.1366,0.1366,2.1948,3.7647
stearate (18:0),0.8806,1.1334,0.7532,0.9775,1.2236,2.1969,0.9673,1.0774,0.7683,0.8448,1.0824,1.4348,0.7305,1.0815,0.8142,1.0038,0.8164,1.41,0.5899,1.0001,1.0392,0.9999
stearoylcarnitine,0.5563,0.7439,1.2574,1.1324,0.9399,2.1124,0.0633,0.7495,0.0633,0.7609,2.2887,1.5902,3.5569,1,0.4374,0.919,3.5793,1.5752,0.0855,0.4951,4.0577,3.9842
succinate,0.9764,1.2139,0.6028,1.0224,0.9545,1.2837,0.9776,2.0791,1.3456,2.1218,2.4225,1.5118,2.3258,1.1719,0.7979,0.7781,0.8379,0.8598,2.7922,0.6939,0.5335,0.6702
taurine,0.0873,1.1794,0.9455,1.2717,1.2066,1.2388,0.0538,1.1992,0.3609,1.2037,0.2623,1.3125,0.1504,1.0204,0.8603,1.2514,0.2181,1.3597,0.0972,1.3846,0.9785,0.9796
tetradecanedioate,0.9695,4.1096,0.7657,0.8952,1.0114,2.8084,0.9725,0.9977,0.7129,1.1195,0.7129,0.7129,0.7129,1.4653,0.7129,0.8166,0.746,1.1562,0.7129,1,1.0164,1.3441
threonine,0.8444,1.3695,1.2165,1.069,0.7286,1.8866,0.7153,1.3248,0.8729,1.0071,0.7771,1.1844,0.7135,1.1951,0.8383,1.2702,0.9005,1.1261,0.6392,0.9929,1.2534,0.85
threonylisoleucine,1.401,0.2293,0.6996,0.2293,0.2293,0.2293,1.3918,0.2293,1.4604,0.2836,2.418,0.2293,1.4523,0.2293,0.9463,0.2293,1.5272,0.8444,0.6969,0.3651,1.0537,0.2293
threonylleucine,2.4074,0.481,0.7328,0.1421,0.7562,0.4616,2.8846,0.2887,2.6314,0.1421,2.8085,0.6276,2.8638,0.1421,1.6645,0.1421,1.5522,1,1.1604,0.3331,3.8631,0.6231
thymol sulfate,0.4156,0.4156,0.4156,0.4156,0.4156,0.4156,0.4156,0.4156,1.631,1,0.4156,0.4156,0.4156,0.4156,0.4156,0.4156,0.4156,0.4156,0.4156,0.4156,0.4156,0.4156
trans-4-hydroxyproline,1.0059,0.9408,1.0453,1.1,0.6074,0.8565,1.2683,0.9941,0.6918,0.891,0.8173,3.547,0.4592,1.0712,0.8199,1.5017,0.4592,1.1424,0.7787,1.0856,0.4592,1.7271
triethanolamine,1.2211,0.2058,5.5648,1.2437,2.0799,5.1113,0.1416,0.1273,0.3333,0.2755,3.4856,24.5008,1.2964,0.2612,0.7789,4.3419,0.2239,0.2661,0.0807,0.6692,33.3113,9.2942
tryptophan,1.0208,1.319,0.8582,0.9522,0.6108,1.4925,1.0879,1.1696,0.9792,0.9571,1.1488,0.7386,0.9408,1.0694,1.0411,0.7674,2.5496,1.2444,0.6959,0.9486,1.3578,0.5877
tryptophan betaine ,1.0554,0.8307,1.1545,1.6239,0.5376,1.1897,0.7649,0.9446,0.5268,0.4919,0.6259,0.9441,2.1396,3.3675,1.3826,1.4591,0.526,0.6641,2.1379,3.1506,1.1666,0.6877
tyrosine,0.8096,1.2694,0.8577,1.0775,0.5008,1.4076,0.7627,1.3209,1.0344,0.8772,1.2025,0.6877,0.876,1.1321,0.9656,0.7504,1.1076,1.0799,0.7059,1.0869,1.3288,0.5946
tyrosylarginine,0.8102,0.8102,0.8102,0.8102,0.8102,0.8102,0.8102,0.8102,0.8102,0.8102,0.8102,0.8102,0.8102,0.8102,0.8102,0.8102,0.8102,0.8102,0.8102,0.8102,1.1898,0.8102
tyrosylhistidine,1.4663,0.7013,0.5877,0.5877,0.5877,0.8385,2.2097,1.3014,0.5877,0.5877,1.0804,0.5877,1.195,0.5877,1,0.5877,0.9256,0.9532,0.5877,0.7041,6.3406,0.5877
tyrosylleucine,0.4766,0.4766,0.4766,0.4766,0.4766,0.4766,1.3434,0.4766,0.9417,0.4766,1.0598,0.4766,1.0583,0.4766,0.8202,0.4766,0.5572,0.4766,0.4766,0.4766,2.0786,0.4766
UDP-glucuronate,1,0.3299,0.8288,0.4059,0.3299,0.3299,1.5011,0.3299,1.2626,0.3618,1.9985,0.3381,2.22,0.6821,1.0465,0.3299,1.4897,0.3299,2.6773,0.3299,0.3299,0.6512
uracil,0.3422,1.5147,0.4916,0.6749,0.4775,1.2101,0.413,1.8722,0.7504,1.2075,1.7179,1.0136,0.5867,1.2237,0.9864,0.7177,0.368,1.4952,0.4715,1.5979,1.3721,1.1454
urate,0.4404,1.4709,0.9515,1.0888,0.8884,1.0861,0.8089,1.3364,0.5204,1.2026,0.4404,1.1816,0.4404,1.1753,0.8064,1.0485,0.6564,1.239,0.4714,0.8988,0.729,1.0592
urea,0.6726,1.6682,0.7227,0.4544,0.4023,0.5164,0.7423,1.2081,1.3306,4.9239,0.5122,0.5616,1.474,0.8704,1.3453,1.8204,1.4235,2.0342,0.5349,0.5412,1.1296,4.9392
