,P10N.EU,P10N.MCG,P10T.EU,P10T.MCG,P11N.EU,P11N.MCG,P11T.EU,P11T.MCG,P12N.EU,P12T.EU,P12T.MCG,P13N.EU,P13T.EU,P13T.MCG,P14N.EU,P14T.EU,P15N.EU,P15T.EU,P15T.MCG,P16N.EU,P16T.EU,P16T.MCG,P1N.EU,P1N.MCG,P1T.EU,P1T.MCG,P2N.EU,P2N.MCG,P2T.EU,P2T.MCG,P3N.EU,P3N.MCG,P3T.EU,P3T.MCG,P4N.EU,P4N.MCG,P4T.EU,P4T.MCG,P5N.EU,P5N.MCG,P5T.EU,P5T.MCG,P6N.EU,P6N.MCG,P6T.EU,P6T.MCG,P7N.EU,P7N.MCG,P7T.EU,P7T.MCG,P8N.EU,P8N.MCG,P8T.EU,P8T.MCG,P9N.EU,P9N.MCG,P9T.EU,P9T.MCG
Threonine,1.151060045,1.56762746,1.151060045,1.56762746,2.515637429,1.151060045,1.56762746,2.515637429,2.515637429,2.111262543,0.92492934,0.92492934,0.92492934,1.56762746,1.56762746,1.151060045,3.30765546,1.151060045,1.151060045,2.515637429,1.151060045,0.684543419,1.151060045,2.111262543,1.151060045,2.515637429,1.56762746,1.56762746,1.151060045,1.151060045,1.56762746,1.56762746,0.684543419,0.684543419,2.515637429,1.151060045,2.515637429,0.684543419,2.515637429,2.515637429,1.151060045,0.92492934,1.56762746,3.30765546,1.151060045,0.684543419,1.56762746,1.151060045,1.151060045,0.684543419,1.56762746,1.56762746,0.92492934,1.151060045,2.515637429,1.151060045,2.111262543,1.151060045
Thymine,1.023557798,0.313553012,1.023557798,1.023557798,1.023557798,1.023557798,1.023557798,0.313553012,1.023557798,2.408325802,0.313553012,1.023557798,1.023557798,0.313553012,1.023557798,1.023557798,1.023557798,1.023557798,0.313553012,1.023557798,1.023557798,1.023557798,1.023557798,0.313553012,1.023557798,0.313553012,1.023557798,0.313553012,1.023557798,0.313553012,1.023557798,0.313553012,1.023557798,0.313553012,1.023557798,1.023557798,0.313553012,1.023557798,1.023557798,0.313553012,1.023557798,2.408325802,1.023557798,1.023557798,1.023557798,1.023557798,1.023557798,0.313553012,1.023557798,1.023557798,1.023557798,0.313553012,1.023557798,1.023557798,1.023557798,0.313553012,1.023557798,1.023557798
Trans-4 Hydroxytamoxifen,0.311498846,1.492617225,0.292678212,1.492617225,1.492617225,1.492617225,0.242321,1.492617225,0.244256881,1.492617225,1.492617225,1.492617225,1.492617225,1.492617225,1.492617225,1.492617225,1.492617225,1.492617225,1.492617225,1.492617225,1.492617225,1.487960298,1.492617225,0.279039633,1.492617225,1.492617225,1.492617225,1.492617225,1.492617225,1.492617225,1.492617225,1.492617225,1.492617225,1.492617225,0.231481877,1.492617225,1.492617225,1.492617225,1.492617225,1.492617225,0.418918221,1.492617225,0.447253744,1.492617225,0.333166368,1.492617225,0.367638899,1.492617225,0.246165817,1.492617225,1.492617225,0.196520512,0.259049962,1.492617225,0.531075879,0.270324135,1.492617225,1.492617225
Tryptophan,1.216692523,2.217216935,0.57284064,1.265629733,0.468959523,0.815032134,0.839282426,2.217216935,0.547797493,1.013118132,2.878400866,1.013118132,1.620691327,2.419779751,1.048078102,1.506617515,0.950945144,1.390985696,2.419779751,0.980529097,1.390985696,0.069831573,1.801116147,2.419779751,1.084395382,1.265629733,1.390985696,2.217216935,1.084395382,2.419779751,1.801116147,1.801116147,1.506617515,0.53622234,1.216692523,2.217216935,1.265629733,2.006258932,0.743578505,2.419779751,1.216692523,1.317415685,0.667129011,2.217216935,1.506617515,2.217216935,0.621141002,2.419779751,1.506617515,0.868605385,0.791012381,2.419779751,1.265629733,2.093557914,0.980529097,2.419779751,1.084395382,1.620691327
Tyrosine,1.198302529,0.363216031,0.948598835,0.948598835,0.685133666,1.198302529,0.685133666,1.596254114,1.596254114,0.685133666,0.948598835,1.198302529,0.948598835,1.198302529,1.198302529,0.363216031,0.948598835,0.685133666,0.948598835,0.948598835,0.237623394,1.596254114,0.948598835,0.948598835,0.685133666,0.948598835,0.685133666,0.948598835,0.685133666,0.948598835,5.103826133,0.237623394,0.685133666,0.948598835,5.103826133,0.948598835,0.685133666,0.042918748,1.596254114,0.948598835,0.948598835,1.596254114,1.198302529,0.685133666,0.685133666,0.948598835,0.685133666,0.685133666,0.685133666,2.081629655,1.596254114,0.685133666,0.685133666,1.198302529,1.198302529,0.363216031,0.948598835,0.685133666
Uracil,0.815985984,1.165744418,0.430804385,0.228756223,0.58770671,0.815985984,0.815985984,0.815985984,0.321994244,0.815985984,0.815985984,2.582212029,0.815985984,1.165744418,4.671518541,0.815985984,4.671518541,1.165744418,0.815985984,4.671518541,0.815985984,1.165744418,0.815985984,0.815985984,1.165744418,1.165744418,0.815985984,0.58770671,0.815985984,0.228756223,0.815985984,0.430804385,1.625695877,1.625695877,1.625695877,0.58770671,1.165744418,2.582212029,0.321994244,0.58770671,0.58770671,1.165744418,0.58770671,0.430804385,0.430804385,1.165744418,0.228756223,0.815985984,0.430804385,1.165744418,0.58770671,0.815985984,0.58770671,1.165744418,0.692503024,0.58770671,0.815985984,0.815985984
Urocanic acid,0.760452867,0.457392308,0.637510282,0.922755819,0.760452867,0.511963094,0.693152823,0.386084472,0.651734403,0.688779881,0.646498728,0.819982313,0.806600377,0.50175565,0.806600377,0.819982313,0.867110961,0.833327634,0.537623251,0.819982313,0.819982313,0.726863724,0.693152823,0.76884057,1.119923805,1.571037867,0.73113297,0.79237699,1.119923805,1.119923805,0.706890643,0.352863727,1.064744745,0.781159385,0.781159385,0.701370642,0.961910228,0.419869653,1.622643496,0.922755819,0.806600377,0.48136531,1.571037867,0.651734403,0.819982313,0.781159385,1.437210326,0.561040553,0.883920102,0.555572765,1.239301575,0.543432602,0.806600377,0.744570124,0.922755819,0.476555545,0.657000427,0.961910228
Valine,1.585912989,1.578880689,1.585912989,1.25428255,0.586635568,1.088100623,1.088100623,0.391776063,1.585912989,0.97008448,1.585912989,0.648313584,0.480533193,0.446688125,0.391776063,0.648313584,0.446688125,1.585912989,0.309729944,0.432736368,0.786796995,0.761503021,1.585912989,0.84402635,1.585912989,1.585912989,1.585912989,1.906771899,1.585912989,0.93558405,1.203304276,2.762864233,1.585912989,0.648313584,1.585912989,1.286608618,1.585912989,0.363754465,0.309729944,0.84402635,1.585912989,0.363754465,0.320920257,1.028887312,1.44590708,0.626023112,0.648313584,0.648313584,1.402499646,1.028887312,1.585912989,0.761503021,1.51934328,1.58477191,1.585912989,0.418793731,0.904723942,1.585912989
Vidarabine,0.594436706,3.714392395,0.617350057,0.952533613,0.728078906,0.420694886,0.952533613,1.589111382,0.718584155,1.622352161,3.147833156,0.460169468,1.522656251,3.714392395,0.522372605,0.748369693,0.491235434,0.608487616,4.522755914,0.325967685,0.935413478,3.147833156,0.978638859,1.11781904,0.648037719,0.810703775,3.336603763,3.033702616,1.498559421,2.307163132,0.594436706,2.194830529,0.478160818,9.473436126,1.039605831,0.927447724,0.748369693,2.011844339,1.448526908,1.338269878,0.536652175,1.296597535,0.999519456,1.498559421,0.562211654,1.961999904,0.918303823,1.824528088,0.723451866,1.622352161,0.510559634,3.336603763,0.633331071,1.147053129,0.512221272,1.917419322,2.370058222,1.147053129
Xanthine,1.316868537,1.316868537,1.316868537,1.316868537,1.316868537,1.316868537,1.316868537,0.205715351,1.316868537,1.316868537,1.316868537,1.316868537,1.316868537,1.316868537,1.316868537,1.316868537,1.316868537,1.316868537,1.316868537,1.316868537,1.316868537,1.316868537,1.316868537,1.316868537,0.205715351,1.316868537,0.205715351,1.316868537,1.316868537,1.316868537,1.316868537,1.316868537,0.205715351,1.316868537,1.316868537,1.316868537,0.205715351,1.316868537,1.316868537,1.316868537,0.205715351,1.316868537,0.205715351,1.316868537,1.316868537,1.316868537,1.316868537,1.316868537,0.205715351,1.316868537,0.205715351,1.316868537,1.316868537,1.316868537,1.316868537,1.316868537,1.316868537,1.316868537
