"","all.combined.adjusted","tumors.combined.adjusted","normals.combined.adjusted","Significant","Significant_Tumor","Significant_normal","SigNames"
"2-palmitoleoyl-gpc* (16:1)*",1,1,1,1,1,0,"LGG.Tumor.greater"
"2-palmitoleoyl-gpe* (16:1)*",1,1,1,1,1,0,"LGG.Tumor.greater"
"2-palmitoyl-gpc* (16:0)*",1,1,1,1,1,0,"LGG.Tumor.greater"
"2-palmitoyl-gpe* (16:0)*",1,1,1,1,1,0,"LGG.Tumor.greater"
"3-phosphoserine",1,1,1,1,1,0,"LGG.Tumor.greater"
"arabinose",1,1,1,1,1,0,"LGG.Tumor.greater"
"cysteine sulfinic acid",1,1,1,1,1,0,"LGG.Tumor.less"
"dehydroascorbate",1,1,1,1,1,0,"LGG.Tumor.greater"
"dihydroxyacetone phosphate (dhap)",1,1,1,1,1,0,"LGG.Tumor.greater"
"dimethylallyl pyrophosphate (dmapp)",1,1,1,1,1,0,"LGG.Tumor.greater"
"docosapentaenoate (dpa; 22:5n3)",1,1,1,1,1,0,"LGG.Tumor.less"
"isobutyrylcarnitine (c4)",1,1,1,1,1,0,"LGG.Tumor.less"
"levulinate (4-oxovalerate)",1,1,1,1,1,0,"LGG.Tumor.less"
"methyl palmitate (15 or 2)",1,1,1,1,1,0,"LGG.Tumor.less"
"palmitoyl ethanolamide",1,1,1,1,1,0,"LGG.Tumor.greater"
"ribose 5-phosphate",1,1,1,1,1,0,"LGG.Tumor.less"
"succinylcarnitine (c4)",1,1,1,1,1,0,"LGG.Tumor.greater"
"triethanolamine",1,1,1,1,1,0,"LGG.Tumor.less"
"n-acetylputrescine",0.036066887,1,1,1,1,0,"PRADLODA.Tumor.greater"
"atp",0.2641439632,1,1,1,0,1,"PRADLODA.Normal.less"
"gmp",0.0957386622,1,1,1,1,0,"PRADLODA.Tumor.less"
"isocitrate",0.1708698936,1,1,1,1,0,"PRADLODA.Tumor.greater"
"udp-n-acetyl-glucosamine",0.153545632,1,1,1,0,1,"PRADLODA.Normal.less"
"ump",0.0731974891,1,1,1,1,0,"PRADLODA.Tumor.less"
"1-methyladenosine (1ma)",0.2136151036,1,1,1,1,0,"PRAD.Tumor.less"
"5-hydroxyindoleacetate (5-hia)",0.3658842026,1,1,1,1,0,"PRAD.Tumor.less"
"acetylcarnitine (alc; c2 ac)",0.1133456513,1,1,1,0,1,"PRAD.Normal.greater"
"bradykinin hydroxyproline",0.2557326061,1,1,1,1,0,"PRAD.Tumor.less"
"dimethylbenzimidazole",0.3123491141,1,1,1,0,1,"PRAD.Normal.greater"
"homoserine lactone",0.1853230082,1,1,1,1,0,"PRAD.Tumor.less"
"isobar 18 includes d-fructose 1-phosphate, beta-d-fructose 6-phosphate",0.0590932766,1,1,1,1,0,"PRAD.Tumor.less"
"isobar 22 includes glutamic acid, o-acetyl-l-serine",0.4418517005,1,1,1,0,1,"PRAD.Normal.greater"
"isobar 30 includes maltotetraose, stachyose",0.3123602607,1,1,1,1,0,"PRAD.Tumor.greater"
"octadecanoic acid",0.3374954876,1,1,1,1,0,"PRAD.Tumor.less"
"oxoproline",0.3048105289,1,1,1,0,1,"PRAD.Normal.greater"
"picolinate",1,1,1,1,0,1,"PRAD.Normal.less"
"1,7-dimethylurate",0.0838545681,1,1,1,0,1,"PRADLODA.Normal.greater"
"serotonin (5ht)",0.4418517005,1,1,1,1,0,"PRADLODA.Tumor.greater"
"leucylleucine",0.0599087303,0.1025318856,0.3573534806,0,0,0,""
"n-6-trimethyllysine",0.2799004829,0.1226193508,1,0,0,0,""
"1,2-propanediol",0.2766960591,0.1639369696,1,0,0,0,""
"alanyltyrosine",0.1263209056,0.2187996088,0.4175448296,0,0,0,""
"sarcosine (n-methylglycine)",0.5284248173,0.2834392521,0.9422825362,0,0,0,""
"glutarate (pentanedioate)",0.5910294152,0.2930430651,1,0,0,0,""
"beta-hydroxyisovalerate",0.4172691175,0.2942004947,1,0,0,0,""
"beta-tocopherol",0.4023711948,0.3101437131,0.7943605549,0,0,0,""
"laurylcarnitine",0.7774213129,0.3428539945,1,0,0,0,""
"isobutyrylcarnitine",0.6428247838,0.362948636,1,0,0,0,""
"chiro-inositol",0.4401948734,0.3881697895,1,0,0,0,""
"argininosuccinate",0.9485510199,0.5040603721,0.5857989511,0,0,0,""
"pyroglutamine*",0.4431166424,0.5054398956,0.7198411937,0,0,0,""
"n2,n2-dimethylguanosine",0.4204266169,0.5092146938,0.6376468983,0,0,0,""
"n-acetylisoleucine",0.9045527623,0.5248921223,1,0,0,0,""
"gamma-glutamylcysteine",0.7221558079,0.5552841461,0.9860490208,0,0,0,""
"piperine",0.4418517005,0.5640232006,0.6329961068,0,0,0,""
"nicotinamide adenine dinucleotide reduced (nadh)",1,0.6738178121,1,0,0,0,""
"glutamate, gamma-methyl ester",0.4179828743,0.7103018336,0.3573534806,0,0,0,""
"caffeine",1,0.7395197012,1,0,0,0,""
"catechol sulfate",0.5967914423,0.7703745153,0.6594796536,0,0,0,""
"xylulose",1,0.7876622599,1,0,0,0,""
"glucose",0.9110503108,0.804707931,1,0,0,0,""
"1-arachidonylglycerol",0.4195796714,0.8120838866,0.4965107204,0,0,0,""
"nicotinamide adenine dinucleotide (nad+)",1,0.8188401565,0.7575981942,0,0,0,""
"4-methyl-2-oxopentanoate",0.6598570608,0.8196209385,0.724669172,0,0,0,""
"n-acetylornithine",1,0.8269661135,1,0,0,0,""
"n-ethylglycinexylidide*",0.6548286061,0.8380243869,0.7104918618,0,0,0,""
"saccharopine",0.4591709241,0.8574165285,1,0,0,0,""
"glycerate",1,0.9378507882,0.9860490208,0,0,0,""
"taurine",0.7678392036,0.9740964853,0.724669172,0,0,0,""
"heme*",1,0.9740964853,0.8295789844,0,0,0,""
"phytosphingosine",0.8837622835,0.9873080667,1,0,0,0,""
"theobromine",0.652241287,1,0.6316234805,0,0,0,""
"1,5-anhydroglucitol (1,5-ag)",1,1,1,0,0,0,""
"3-methylhistidine",1,1,0.9225395071,0,0,0,""
"phenol sulfate",1,1,1,0,0,0,""
"pyrophosphate (ppi)",1,1,0.9451550386,0,0,0,""
"squalene",0.616804085,1,0.5857989511,0,0,0,""
"triethyleneglycol",0.9485510199,1,0.724669172,0,0,0,""
"15-methylpalmitate (isobar with 2-methylpalmitate)",0.4418517005,1,1,0,0,0,""
"1-methylimidazoleacetate",0.1783096336,1,1,0,0,0,""
"1-myristoylglycerophosphoethanolamine",1,1,1,0,0,0,""
"2'-deoxycytidine 3'-monophosphate",1,1,1,0,0,0,""
"2-hydroxyacetaminophen sulfate*",0.7810838267,1,1,0,0,0,""
"2-hydroxyisobutyrate",0.8879251982,1,1,0,0,0,""
"2-linoleoylglycerol (2-monolinolein)",1,1,1,0,0,0,""
"2-methoxyacetaminophen sulfate*",0.4311509506,1,1,0,0,0,""
"2-oleoylglycerol (2-monoolein)",0.4658894305,1,1,0,0,0,""
"2-phosphoglycerate",0.9286736354,1,1,0,0,0,""
"2-stearoylglycerophosphoethanolamine*",1,1,1,0,0,0,""
"3-(cystein-s-yl)acetaminophen*",1,1,1,0,0,0,""
"3-(n-acetyl-l-cystein-s-yl) acetaminophen*",1,1,1,0,0,0,""
"3'-dephosphocoenzyme a",0.7774213129,1,0.8740368659,0,0,0,""
"4-acetamidophenol",0.8171394672,1,1,0,0,0,""
"4-acetaminophen sulfate",0.6803109146,1,1,0,0,0,""
"4-hydroxyglutamate",1,1,1,0,0,0,""
"4-hydroxyhippurate",1,1,1,0,0,0,""
"4-hydroxyphenylacetate",0.6070026628,1,1,0,0,0,""
"5-methyltetrahydrofolate (5methf)",1,1,1,0,0,0,""
"5-methyluridine (ribothymidine)",1,1,1,0,0,0,""
"6-keto prostaglandin f1alpha",1,1,1,0,0,0,""
"6'-sialyllactose",0.3511076549,1,1,0,0,0,""
"adipate",0.4618622101,1,1,0,0,0,""
"alpha-glutamyltryptophan",0.3616700083,1,1,0,0,0,""
"arachidate (20:0)",0.6493983959,1,1,0,0,0,""
"arginylmethionine",1,1,1,0,0,0,""
"arginylphenylalanine",0.7742011046,1,1,0,0,0,""
"arginyltyrosine",0.1696238214,1,1,0,0,0,""
"arginylvaline",0.2612119801,1,1,0,0,0,""
"atenolol",1,1,1,0,0,0,""
"beta-hydroxypyruvate",1,1,1,0,0,0,""
"bilirubin (e,e)*",1,1,1,0,0,0,""
"bilirubin (z,z)",1,1,1,0,0,0,""
"celecoxib",1,1,1,0,0,0,""
"cinnamoylglycine",1,1,1,0,0,0,""
"citalopram",1,1,1,0,0,0,""
"citramalate",0.4139467121,1,1,0,0,0,""
"codeine",1,1,1,0,0,0,""
"cortisol",1,1,1,0,0,0,""
"cysteinylglycine",0.8660998554,1,1,0,0,0,""
"dimethylglycine",0.8523537598,1,1,0,0,0,""
"dodecanedioate",0.2669334112,1,1,0,0,0,""
"erucate (22:1n9)",0.9110503108,1,1,0,0,0,""
"gabapentin",1,1,1,0,0,0,""
"gamma-glutamylphenylalanine",0.4262611321,1,1,0,0,0,""
"gamma-glutamylvaline",0.1526347969,1,1,0,0,0,""
"glycocholenate sulfate*",1,1,1,0,0,0,""
"glycolithocholate sulfate*",1,1,1,0,0,0,""
"glycyllysine",0.3230897408,1,1,0,0,0,""
"guanidinoacetate",0.9665454564,1,1,0,0,0,""
"guanosine 5'- monophosphate (5'-gmp)",0.3452275201,1,1,0,0,0,""
"histidylleucine",0.3204919658,1,1,0,0,0,""
"histidylmethionine",0.2860613533,1,1,0,0,0,""
"histidyltyrosine",1,1,1,0,0,0,""
"homostachydrine*",0.9339196167,1,1,0,0,0,""
"hydrochlorothiazide",1,1,1,0,0,0,""
"imidazole propionate",0.8796064609,1,1,0,0,0,""
"indoleacetate",1,1,1,0,0,0,""
"isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate, myo-inositol 1,4 or 1,3-diphosphate",0.3123491141,1,1,0,0,0,""
"isoleucylserine",0.3298626172,1,1,0,0,0,""
"leucylalanine",0.218528481,1,1,0,0,0,""
"leucylarginine",0.0942535826,1,1,0,0,0,""
"leucylhistidine",0.4840057806,1,1,0,0,0,""
"leucylmethionine",0.435854911,1,1,0,0,0,""
"leucyltryptophan",0.4431166424,1,1,0,0,0,""
"leucyltyrosine",0.2388431101,1,1,0,0,0,""
"l-urobilin",1,1,1,0,0,0,""
"lysyllysine",0.9045527623,1,1,0,0,0,""
"lysylmethionine",0.18262806,1,1,0,0,0,""
"lysyltyrosine",0.0944395556,1,1,0,0,0,""
"malonylcarnitine",0.8916158057,1,1,0,0,0,""
"maltohexaose",1,1,1,0,0,0,""
"maltopentaose",1,1,1,0,0,0,""
"metformin",1,1,1,0,0,0,""
"methionylaspartate",0.3374954876,1,1,0,0,0,""
"metoprolol",1,1,1,0,0,0,""
"metoprolol acid metabolite*",1,1,1,0,0,0,""
"n-acetylarginine",0.6302187733,1,1,0,0,0,""
"n-acetylasparagine",0.4648605639,1,1,0,0,0,""
"n-acetylglutamine",0.5738901702,1,1,0,0,0,""
"n-acetylleucine",0.8957932273,1,1,0,0,0,""
"n-acetyltryptophan",1,1,1,0,0,0,""
"n-acetyltyrosine",0.6015947298,1,1,0,0,0,""
"naproxen",1,1,1,0,0,0,""
"nervonate (24:1n9)",0.4618622101,1,1,0,0,0,""
"nicotinate",0.9244167236,1,1,0,0,0,""
"n-methylglutamate",0.4963028677,1,1,0,0,0,""
"p-acetamidophenylglucuronide",0.9192861733,1,1,0,0,0,""
"paroxetine",1,1,1,0,0,0,""
"penicillin g",0.9214561441,1,1,0,0,0,""
"phenylalanylarginine",1,1,1,0,0,0,""
"phenylalanylproline",0.2649955531,1,1,0,0,0,""
"pivaloylcarnitine",0.8391928836,1,1,0,0,0,""
"pregnanediol-3-glucuronide",1,1,1,0,0,0,""
"prostaglandin a2",1,1,1,0,0,0,""
"prostaglandin e2",1,1,1,0,0,0,""
"pyridoxal",0.3285306671,1,1,0,0,0,""
"quebrachitol",0.5950766273,1,1,0,0,0,""
"quinidine",1,1,1,0,0,0,""
"ranitidine",1,1,1,0,0,0,""
"salicylate",1,1,1,0,0,0,""
"streptomycin",1,1,1,0,0,0,""
"thymidine",1,1,1,0,0,0,""
"trans-urocanate",0.5029188412,1,1,0,0,0,""
"trigonelline (n'-methylnicotinate)",0.1361608247,1,1,0,0,0,""
"tryptophylleucine",0.269346222,1,1,0,0,0,""
"tyrosylhistidine",0.4990576641,1,1,0,0,0,""
"tyrosyllysine",1,1,1,0,0,0,""
"tyrosyltyrosine",0.4073372197,1,1,0,0,0,""
"undecanedioate",0.8523537598,1,1,0,0,0,""
"uridine monophosphate (5' or 3')",0.1769297605,1,1,0,0,0,""
"valylarginine",0.4550085902,1,1,0,0,0,""
"venlafaxine",1,1,1,0,0,0,""
"5-hydroxytryptophan",1,1,1,0,0,0,""
"2'-o-methylguanosine",1,1,1,0,0,0,""
"2-methylmalonyl carnitine",1,1,1,0,0,0,""
"3-methyl-2-oxobutyrate",0.7745750379,1,1,0,0,0,""
"4-octenedioate",1,1,1,0,0,0,""
"5alpha-pregnan-3beta,20alpha-diol disulfate",1,1,1,0,0,0,""
"adsgegdfxaegggvr*",1,1,1,0,0,0,""
"andro steroid monosulfate 1*",1,1,1,0,0,0,""
"andro steroid monosulfate 2*",1,1,1,0,0,0,""
"behenate (22:0)",1,1,1,0,0,0,""
"conjugated linoleate (18:2n7; 9z,11e)",1,1,1,0,0,0,""
"desmethylnaproxen sulfate*",0.4428726978,1,1,0,0,0,""
"epiandrosterone sulfate",1,1,1,0,0,0,""
"fluoxitine",1,1,1,0,0,0,""
"glycocholate",1,1,1,0,0,0,""
"glycodeoxycholate",1,1,1,0,0,0,""
"malonate (propanedioate)",0.3620826691,1,1,0,0,0,""
"methionine sulfoxide",0.8391928836,1,1,0,0,0,""
"methyl-4-hydroxybenzoate",1,1,1,0,0,0,""
"n-formylmethionine",1,1,1,0,0,0,""
"phenyllactate (pla)",1,1,1,0,0,0,""
"phenylpyruvate",1,1,1,0,0,0,""
"pregn steroid monosulfate*",1,1,1,0,0,0,""
"pyridoxine (vitamin b6)",1,1,1,0,0,0,""
"pyroglutamylvaline",0.5825994535,1,1,0,0,0,""
"sebacate (decanedioate)",0.4423253697,1,1,0,0,0,""
"taurochenodeoxycholate",1,1,1,0,0,0,""
"taurocholate",1,1,1,0,0,0,""
"taurolithocholate 3-sulfate",1,1,1,0,0,0,""
"thymol sulfate",1,1,1,0,0,0,""
"ursodeoxycholate",1,1,1,0,0,0,""
"1-eicosatrienoylglycerophosphocholine*",1,1,1,0,0,0,""
"1-octadecanol",1,1,1,0,0,0,""
"13-methylmyristic acid",1,1,1,0,0,0,""
"2-arachidonoylglycerophosphoinositol*",1,1,1,0,0,0,""
"2-oleoylglycerophosphoinositol*",1,1,1,0,0,0,""
"3-phosphoglycerate (isobar with 2-phosphoglycerate)",1,1,1,0,0,0,""
"4-nitrophenol",1,1,1,0,0,0,""
"acetyl coa",1,1,1,0,0,0,""
"adenosine 3',5'-cyclic monophosphate (camp)",1,1,1,0,0,0,""
"adenosine 5'-diphosphate (adp)",0.4032293763,1,1,0,0,0,""
"aica ribonucleotide",1,1,1,0,0,0,""
"carnosine",0.8794561865,1,1,0,0,0,""
"cis-urocanate",1,1,1,0,0,0,""
"coenzyme a",0.5987664263,1,1,0,0,0,""
"cytidine-5'-diphosphoethanolamine",1,1,1,0,0,0,""
"delta-tocopherol",1,1,1,0,0,0,""
"deoxycholate",0.8731297439,1,1,0,0,0,""
"gamma-glutamylmethionine",0.4596873571,1,1,0,0,0,""
"glutaroyl carnitine",0.8473394569,1,1,0,0,0,""
"heptaethylene glycol",1,1,1,0,0,0,""
"heptanoate (7:0)",1,1,1,0,0,0,""
"hexaethylene glycol",1,1,1,0,0,0,""
"inosine 5'-monophosphate (imp)",1,1,1,0,0,0,""
"isobar: udp-acetylglucosamine, udp-acetylgalactosamine",1,1,1,0,0,0,""
"isoleucylglutamine",1,1,1,0,0,0,""
"lathosterol",1,1,1,0,0,0,""
"methionylthreonine",1,1,1,0,0,0,""
"methionylvaline",1,1,1,0,0,0,""
"nonadecanoate (19:0)",0.5109953726,1,1,0,0,0,""
"paraxanthine",1,1,0.8526460824,0,0,0,""
"pentaethylene glycol",1,1,1,0,0,0,""
"pseudoephedrine",1,1,1,0,0,0,""
"s-lactoylglutathione",1,1,1,0,0,0,""
"s-methylglutathione",1,1,1,0,0,0,""
"tetraethylene glycol",1,1,1,0,0,0,""
"thymidine 5'-monophosphate",1,1,1,0,0,0,""
"udp-glucose (isobar with udp-galactose)",1,1,1,0,0,0,""
"uridine 5'-triphosphate (utp)",1,1,1,0,0,0,""
"valerate",1,1,1,0,0,0,""
"1-arachidonoyl-gpi* (20:4)*",1,1,1,0,0,0,""
"2-arachidonoyl-gpc* (20:4)*",1,1,1,0,0,0,""
"2-arachidonoyl-gpe* (20:4)*",1,1,1,0,0,0,""
"2-docosahexaenoyl-gpc* (22:6)*",1,1,1,0,0,0,""
"2-linoleoyl-gpc* (18:2)*",1,1,1,0,0,0,""
"2-myristoyl-gpc* (14:0)*",1,1,1,0,0,0,""
"acetylphosphate",1,1,1,0,0,0,""
"betaine aldehyde",1,1,1,0,0,0,""
"carbamazepine 10,11-epoxide*",1,1,1,0,0,0,""
"carbamazepine*",1,1,1,0,0,0,""
"cdp-choline",1,1,1,0,0,0,""
"galactosylsphingosine",1,1,1,0,0,0,""
"hydroxyisovaleroylcarnitine (c5)",1,1,1,0,0,0,""
"isobar: 2-propylpentanoic acid, 2-ethylhexanoic acid",1,1,1,0,0,0,""
"n-acetylglutamate",1,1,1,0,0,0,""
"n-acetylhistidine",1,1,1,0,0,0,""
"palmitoylcarnitine (c16)",1,1,1,0,0,0,""
"sucrose",1,1,1,0,0,0,""
"trizma acetate",1,1,1,0,0,0,""
"undecanoate (11:0)",1,1,1,0,0,0,""
"1,2-dipalmitoylglycerol",1,1,1,0,0,0,""
"4-androsten-3beta,17beta-diol disulfate 2*",1,1,1,0,0,0,""
"5-dodecenoate (12:1n7)",1,1,1,0,0,0,""
"alpha-hydroxyisocaproate",1,1,1,0,0,0,""
"biliverdin",0.3936889893,1,1,0,0,0,""
"galactitol (dulcitol)",1,1,1,0,0,0,""
"lignocerate (24:0)",1,1,1,0,0,0,""
"o-cresol sulfate",1,1,1,0,0,0,""
"ofloxacin",0.6045692653,1,1,0,0,0,""
"orotate",1,1,1,0,0,0,""
"oxamate",1,1,1,0,0,0,""
"phenylacetate",1,1,1,0,0,0,""
"saccharin",1,1,1,0,0,0,""
"thromboxane b2",1,1,1,0,0,0,""
"tricosanoate (23:0)",1,1,1,0,0,0,""
"udp",0.4431166424,1,1,0,0,0,""
"5-hydroxyindoleacetate",0.5449312173,1,1,0,0,0,""
"kynurenate",0.3745885686,1,1,0,0,0,""
"2'-deoxyuridine-5'-triphosphate (dutp)",0.5109953726,1,1,0,0,0,""
"3,4-dihydroxyphenylethyleneglycol (dopeg)",1,1,1,0,0,0,""
"3-methyl-2-oxopentanoate",0.6175659572,1,1,0,0,0,""
"5-sulfosalicylate",1,1,1,0,0,0,""
"b-aminoisobutyrate",1,1,1,0,0,0,""
"b-hydroxybutyrate (bhba)",1,1,1,0,0,0,""
"bicine",1,1,1,0,0,0,""
"biotin",0.6803109146,1,1,0,0,0,""
"bradykinin",1,1,1,0,0,0,""
"cadaverine",1,1,1,0,0,0,""
"ciliatine (2-aminoethylphosphonate)",0.892476965,1,1,0,0,0,""
"dehydroepiandrosterone sulfate (dhea-s)",0.8589179305,1,1,0,0,0,""
"deoxyuridine",0.9665454564,1,1,0,0,0,""
"dihydroxyacetonephosphate (dhap)",0.3204919658,1,1,0,0,0,""
"ethylmalonate",1,1,1,0,0,0,""
"histidinol",1,1,1,0,0,0,""
"hydroxyphenylpyruvate",0.3501448268,1,1,0,0,0,""
"indoxylsulfate",0.921109949,1,1,0,0,0,""
"inositol-1-phosphate (i1p)",0.4933982215,1,1,0,0,0,""
"isobar 1 includes mannose, fructose, glucose, galactose",1,1,1,0,0,0,""
"isobar 17 includes arginine, n-alpha-acetyl-ornithine",0.3728590141,1,1,0,0,0,""
"isobar 19 includes d-saccharic acid,1,5-anhydro-d-glucitol",0.8796064609,1,1,0,0,0,""
"isobar 21 includes gamma-aminobutyryl-l-histidine, l-anserine",0.9884045474,1,1,0,0,0,""
"isobar 24 includes l-arabitol, adonitol",1,1,1,0,0,0,""
"isobar 28 includes l-threonine, l-allothreonine, l-homoserine",0.5045492646,1,1,0,0,0,""
"isobar 29 includes r,s-hydroorotic acid, 5,6-dihydroorotic acid",1,1,1,0,0,0,""
"isobar 3 includes inositol 1-phosphate, mannose 6-phosphate",0.9994352888,1,1,0,0,0,""
"isobar 31 includes 1-kestose,maltotriose, melezitose",0.5287237516,1,1,0,0,0,""
"isobar 32 includes n-acetyl-d-glucosamine, n-acetyl-d-mannosamin",1,1,1,0,0,0,""
"isobar 4 includes gluconic acid, dl-arabinose, d-ribose, l-xylose",0.6045692653,1,1,0,0,0,""
"isobar 40 includes maltotetraose, stachyose",0.3759999339,1,1,0,0,0,""
"isobar 6 includes valine, betaine",0.3374954876,1,1,0,0,0,""
"methylglutarate",0.6359382882,1,1,0,0,0,""
"n-acetylgalactosamine",0.9215124233,1,1,0,0,0,""
"n-acetylglucosaminylamine",0.6681187997,1,1,0,0,0,""
"n-carbamoylaspartate",0.8796064609,1,1,0,0,0,""
"orotidine-5'-phosphate",0.5678104646,1,1,0,0,0,""
"orthophosphate (pi)",0.5217629896,1,1,0,0,0,""
"oxalate (ethanedioate)",0.9045527623,1,1,0,0,0,""
"phosphoserine",0.6553349242,1,1,0,0,0,""
"p-hydroxyphenyllactate (hpla)",1,1,1,0,0,0,""
"pyridoxamine",0.1972010054,1,1,0,0,0,""
"suberate (octanedioate)",1,1,1,0,0,0,""
"sucrose/maltose",0.4450289178,1,1,0,0,0,""
"thyroxine",0.417650901,1,1,0,0,0,""
"topiramate",0.6155450296,1,1,0,0,0,""
"udp-n-acetylmuraminate (udp-murnac)",1,1,1,0,0,0,""
"1-eicosadienoylglycerophosphocholine*",0.9665454564,1,1,0,0,0,""
"4-vinylphenol sulfate",0.5726857167,1,1,0,0,0,""
"acetylcholine",0.8794561865,1,1,0,0,0,""
