"","KIRC","BLCA","BRCA","BRCATang","OV","PAAD","PAADHussain1","PAADHussain2","PRAD","PRADLODA"
"1-palmitoleoyl-gpc* (16:1)*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-palmitoyl-gpi* (16:0)*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-stearoyl-gpi (18:0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-arachidonoyl-gpc* (20:4)*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-arachidonoyl-gpe* (20:4)*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-docosahexaenoyl-gpc* (22:6)*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-linoleoyl-gpc* (18:2)*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-myristoyl-gpc* (14:0)*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-myristoylglycerophosphoethanolamine*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-oleoyl-gpc* (18:1)*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-oleoyl-gpe* (18:1)*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-palmitoleoyl-gpc* (16:1)*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-palmitoleoyl-gpe* (16:1)*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-palmitoyl-gpc* (16:0)*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-palmitoyl-gpe* (16:0)*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3-phosphoserine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acetylphosphate",NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"arabinose",NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"betaine aldehyde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carbamazepine 10,11-epoxide*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carbamazepine*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cysteine sulfinic acid",NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"cdp-choline",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"dehydroascorbate",NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"dihydroxyacetone phosphate (dhap)",NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"dimethylallyl pyrophosphate (dmapp)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"diphenhydramine",NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"docosapentaenoate (dpa; 22:5n3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"galactosylsphingosine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hydroxyisovaleroylcarnitine (c5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"isobar: 2-propylpentanoic acid, 2-ethylhexanoic acid",NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"isobutyrylcarnitine (c4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"levulinate (4-oxovalerate)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methyl palmitate (15 or 2)",NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"n-acetylglutamate",NA,NA,NA,NA,1,0,NA,NA,NA,NA
"n-acetylhistidine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"palmitoyl ethanolamide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"palmitoylcarnitine (c16)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ribose 5-phosphate",NA,NA,NA,NA,NA,NA,0,0,NA,NA
"succinylcarnitine (c4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sucrose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"triethanolamine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"trizma acetate",NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"undecanoate (11:0)",NA,NA,NA,NA,0,NA,0,0,NA,NA
"1,2-dipalmitoylglycerol",NA,NA,NA,NA,0,NA,-1,NA,NA,NA
"4-androsten-3beta,17beta-diol disulfate 2*",NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"5-dodecenoate (12:1n7)",NA,NA,NA,NA,0,NA,-1,NA,NA,NA
"alpha-hydroxyisocaproate",NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"biliverdin",NA,NA,NA,NA,0,NA,NA,0,0,NA
"galactitol (dulcitol)",NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"lignocerate (24:0)",NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"meprobamate*",NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"n-acetylputrescine",NA,NA,NA,NA,1,NA,NA,NA,NA,0
"o-cresol sulfate",NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"ofloxacin",NA,NA,NA,NA,0,NA,NA,NA,0,NA
"orotate",NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"oxamate",NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"phenylacetate",NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"progesterone",NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"saccharin",NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"taurocholenate sulfate*",NA,NA,NA,NA,0,NA,0,0,NA,NA
"thromboxane b2",NA,NA,NA,NA,1,NA,NA,0,NA,NA
"tricosanoate (23:0)",NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"2-aminooctanoic acid",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"2-dehydro-d-gluconate",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"acetyl-coa",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"adenosine 5'-phosphosulfate",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"adp-d-glucose",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"allantoin",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"anthranilate",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"atp",NA,NA,NA,NA,NA,0,NA,NA,NA,-1
"cdp",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"cdp-ethanolamine",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"cholesteryl sulfate",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"creatine phosphate",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"cyclic-amp",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"cytidine_act",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"d-glucono-delta-lactone-6-phosphate",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"d-glucuronic acid-potential",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"d-glyceraldehdye-3-phosphate",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"d-mannose/l-sorbose-potential-1",NA,NA,NA,NA,NA,-1,NA,NA,NA,NA
"d-sedoheptulose-1/7-phosphate",NA,NA,NA,NA,NA,-1,NA,NA,NA,NA
"dgdp",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"dgtp",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"dtmp",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"fructose-1,6-bisphosphate",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"gdp",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"gmp",NA,NA,NA,NA,NA,0,NA,NA,NA,0
"idp",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"imp",NA,NA,NA,NA,NA,-1,NA,NA,NA,NA
"indole",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"isocitrate",NA,NA,NA,NA,NA,0,NA,NA,NA,-1
"leucine/isoleucine",NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"n-acetyl-glucosamine-1-phosphate",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"nadp+",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"shikimate-3-phosphate",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"trehalose/sucrose",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"udp",NA,NA,NA,NA,NA,0,NA,NA,NA,-1
"udp-d-glucose",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"udp-n-acetyl-glucosamine",NA,NA,NA,NA,NA,0,NA,NA,NA,1
"ump",NA,NA,NA,NA,NA,0,NA,NA,NA,0
"utp",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"1-heptadecanoylglycerol (1-monoheptadecanoin)",NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"1-myristoylglycerol (1-monomyristin)",NA,NA,NA,NA,NA,NA,-1,-1,NA,NA
"1-pentadecanoylglycerol (1-monopentadecanoin)",NA,NA,NA,NA,NA,NA,-1,-1,NA,NA
"17-methylstearate",NA,NA,NA,NA,NA,NA,-1,-1,NA,NA
"2'-deoxycytidine",NA,NA,NA,NA,NA,NA,-1,NA,NA,NA
"2'-deoxycytidine 5'-monophosphate",NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"2-myristoylglycerol (2-monomyristin)",NA,NA,NA,NA,NA,NA,-1,-1,NA,NA
"2-stearoylglycerol (2-monostearin)",NA,NA,NA,NA,NA,NA,-1,NA,NA,NA
"2-stearoylglycerophosphoinositol*",NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"5-hydroxyindoleacetate",NA,NA,NA,NA,NA,NA,0,NA,NA,0
"9,10-hydroxyoctadec-12(z)-enoic acid",NA,NA,NA,NA,NA,NA,-1,-1,NA,NA
"adenosine-2',3'-cyclic monophosphate",NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"chenodeoxycholate",NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"decanoylcarnitine",NA,NA,NA,NA,NA,NA,0,1,NA,NA
"dexpanthenol",NA,NA,NA,NA,NA,NA,0,0,NA,NA
"gamma-glutamylthreonine*",NA,NA,NA,NA,NA,NA,0,-1,NA,NA
"glycoursodeoxycholate",NA,NA,NA,NA,NA,NA,0,0,NA,NA
"hexadecanedioate",NA,NA,NA,NA,NA,NA,-1,0,NA,NA
"homovanillate sulfate",NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"isoleucylleucine",NA,NA,NA,NA,NA,NA,0,0,NA,NA
"ketamine",NA,NA,NA,NA,NA,NA,0,0,NA,NA
"kynurenate",NA,NA,NA,NA,NA,NA,0,NA,1,NA
"lactobionate",NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"leucylisoleucine",NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"n(1)-acetylspermine",NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"n-acetylcysteine",NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"palmitate, methyl ester",NA,NA,NA,NA,NA,NA,0,-1,NA,NA
"prolylleucine",NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"raffinose",NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"stearamide",NA,NA,NA,NA,NA,NA,0,-1,NA,NA
"taurodeoxycholate",NA,NA,NA,NA,NA,NA,0,0,NA,NA
"tauroursodeoxycholate",NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"tetradecanedioate",NA,NA,NA,NA,NA,NA,0,0,NA,NA
"thymidine 3'-monophosphate",NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"1-docosahexaenoylglycerol (1-monodocosahexaenoin)",NA,NA,NA,NA,NA,NA,NA,-1,NA,NA
"1-methylhistamine",NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"1-stearoylglycerophosphoglycerol",NA,NA,NA,NA,NA,NA,NA,-1,NA,NA
"2-ethylhexanoate (isobar with 2-propylpentanoate)",NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"8-hydroxyoctanoate",NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"alpha-glutamylvaline",NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"guanosine 3'-monophosphate (3'-gmp)",NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"isovalerylglycine",NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"methyl stearate",NA,NA,NA,NA,NA,NA,NA,-1,NA,NA
"prostaglandin d2",NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"1-methyladenosine (1ma)",NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"2'-deoxyuridine-5'-triphosphate (dutp)",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"3,4-dihydroxyphenylethyleneglycol (dopeg)",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"3-methyl-2-oxopentanoate",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"5,6-dihydrothymine",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"5-hydroxyindoleacetate (5-hia)",NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"5-sulfosalicylate",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"acetylcarnitine (alc; c2 ac)",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"b-aminoisobutyrate",NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"b-hydroxybutyrate (bhba)",NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"bicine",NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"biotin",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"bradykinin",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"bradykinin hydroxyproline",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"cadaverine",NA,NA,NA,NA,NA,NA,NA,NA,-1,NA
"ciliatine (2-aminoethylphosphonate)",NA,NA,NA,NA,NA,NA,NA,NA,-1,NA
"dehydroepiandrosterone sulfate (dhea-s)",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"deoxyuridine",NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"dihydroxyacetonephosphate (dhap)",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"dimethylbenzimidazole",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"ethylmalonate",NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"histidinol",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"homoserine lactone",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"hydroxyphenylpyruvate",NA,NA,NA,NA,NA,NA,NA,NA,-1,NA
"imidazolelactate",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"indoxylsulfate",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"inositol-1-phosphate (i1p)",NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"isobar 1 includes mannose, fructose, glucose, galactose",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"isobar 17 includes arginine, n-alpha-acetyl-ornithine",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"isobar 18 includes d-fructose 1-phosphate, beta-d-fructose 6-phosphate",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"isobar 19 includes d-saccharic acid,1,5-anhydro-d-glucitol",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"isobar 2 includes 2-aminoisobutyric acid,3-amino-isobutyrate",NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"isobar 21 includes gamma-aminobutyryl-l-histidine, l-anserine",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"isobar 22 includes glutamic acid, o-acetyl-l-serine",NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"isobar 24 includes l-arabitol, adonitol",NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"isobar 28 includes l-threonine, l-allothreonine, l-homoserine",NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"isobar 29 includes r,s-hydroorotic acid, 5,6-dihydroorotic acid",NA,NA,NA,NA,NA,NA,NA,NA,-1,NA
"isobar 3 includes inositol 1-phosphate, mannose 6-phosphate",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"isobar 30 includes maltotetraose, stachyose",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"isobar 31 includes 1-kestose,maltotriose, melezitose",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"isobar 32 includes n-acetyl-d-glucosamine, n-acetyl-d-mannosamin",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"isobar 35 includes d-arabinose 5-phosphate, d-ribulose 5-phosphate",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"isobar 4 includes gluconic acid, dl-arabinose, d-ribose, l-xylose",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"isobar 40 includes maltotetraose, stachyose",NA,NA,NA,NA,NA,NA,NA,NA,-1,NA
"isobar 6 includes valine, betaine",NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"isobar glycochenodeoxycholic acid/glycodeoxycholic acid",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"methylglutarate",NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"n-acetylgalactosamine",NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"n-acetylglucosaminylamine",NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"n-carbamoylaspartate",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"octadecanoic acid",NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"orotidine-5'-phosphate",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"orthophosphate (pi)",NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"oxalate (ethanedioate)",NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"oxoproline",NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"phosphoserine",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"p-hydroxyphenylacetate (hpa)",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"p-hydroxyphenyllactate (hpla)",NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"picolinate",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"pyridoxamine",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"suberate (octanedioate)",NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"sucrose/maltose",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"thyroxine",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"topiramate",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"trans-2, 3, 4-trimethoxycinnamate",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"udp-n-acetylmuraminate (udp-murnac)",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"1-eicosadienoylglycerophosphocholine*",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"1,7-dimethylurate",NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4-vinylphenol sulfate",NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"acetylcholine",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"serotonin (5ht)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
